diff,pctl
88,0
79.17,0.0002491727
71.15,0.0004983455
64.78,0.0007475182
64.7,0.000996691
63.14,0.001245864
61.58,0.001495036
61.39,0.001744209
59.19,0.001993382
58.38,0.002242555
57.6,0.002491727
57.58,0.0027409
56.8,0.002990073
56.76,0.003239246
55.99,0.003488418
55.97,0.003737591
54.39,0.003986764
54.38,0.004235937
54.34,0.004485109
52.79,0.004734282
52,0.004983455
51.99,0.005232628
51.99,0.0054818
51.93,0.005730973
51.19,0.005980146
50.4,0.006229319
49.6,0.006478491
49.57,0.006727664
48.8,0.006976837
48.78,0.00722601
48.77,0.007475182
47.99,0.007724355
47.97,0.007973528
47.95,0.008222701
47.9,0.008471873
47.2,0.008721046
47.17,0.008970219
46.37,0.009468564
46.36,0.009717737
45.6,0.00996691
45.6,0.01021608
45.59,0.01046526
45.59,0.01071443
44.8,0.0109636
44.8,0.01196029
44.78,0.01220946
44.75,0.01245864
44.65,0.01270781
44,0.01295698
43.99,0.01320616
43.97,0.01345533
43.88,0.0137045
43.2,0.01395367
43.2,0.01420285
43.19,0.01470119
43.19,0.01495036
43.18,0.01519954
43.17,0.01544871
43.11,0.01594706
42.4,0.01619623
42.38,0.01694375
42.37,0.01719292
42.36,0.01744209
41.6,0.01769127
41.6,0.01794044
41.59,0.01868796
41.58,0.01893713
41.58,0.0191863
41.57,0.01943547
41.56,0.01968465
40.8,0.01993382
40.8,0.02018299
40.8,0.02068134
40.79,0.02117968
40.79,0.02142886
40.78,0.02167803
40.77,0.0219272
40,0.02217637
39.99,0.02267472
39.98,0.02292389
39.97,0.02317307
39.92,0.02416976
39.2,0.02441893
39.2,0.02491727
39.18,0.02516645
39.18,0.02616314
39.17,0.02641231
39.17,0.02666148
39.16,0.02715983
39.15,0.027409
38.4,0.02765817
38.4,0.02815652
38.4,0.02840569
38.39,0.02890404
38.39,0.02915321
38.39,0.02965156
38.38,0.02990073
38.38,0.0301499
38.36,0.03039908
38.35,0.03064825
38.35,0.03089742
38.31,0.03114659
37.59,0.03139577
37.58,0.03264163
37.57,0.03313998
37.51,0.03338915
37.49,0.03363832
36.8,0.03388749
36.8,0.03413667
36.8,0.03438584
36.8,0.03488418
36.79,0.03538253
36.78,0.0356317
36.78,0.03613005
36.77,0.03637922
36.77,0.03662839
36.76,0.03687757
36.75,0.03737591
36.73,0.03762508
36.7,0.03787426
36.68,0.03812343
36,0.0383726
36,0.03936929
36,0.03961847
36,0.04036598
36,0.04061516
35.99,0.04086433
35.99,0.04136268
35.99,0.04186102
35.98,0.04235937
35.98,0.04335606
35.97,0.0438544
35.96,0.04410358
35.94,0.04435275
35.2,0.04460192
35.2,0.04485109
35.2,0.04584779
35.2,0.04609696
35.19,0.04784117
35.19,0.04809034
35.18,0.04908703
35.18,0.05033289
35.18,0.05058207
35.17,0.05108041
35.17,0.05157876
35.15,0.05182793
34.4,0.0520771
34.4,0.05232628
34.4,0.05407049
34.4,0.054818
34.4,0.0558147
34.39,0.05606387
34.39,0.05631304
34.39,0.0575589
34.38,0.05805725
34.38,0.0585556
34.38,0.05905394
34.37,0.05955229
34.36,0.05980146
34.25,0.0602998
34.13,0.06054898
33.6,0.06079815
33.6,0.06204401
33.6,0.06254236
33.59,0.06428657
