raw,pctl
215.98,0.1106327
215.97,0.1108819
215.96,0.1113802
215.94,0.1118786
215.93,0.1123769
215.92,0.1126261
215.91,0.1128753
215.89,0.1133736
215.86,0.1136228
215.2,0.1151178
215.19,0.1158653
215.17,0.1166128
215.16,0.1173604
215.14,0.1176095
215.13,0.1183571
215.11,0.1188554
215.06,0.1191046
215.05,0.1196029
214.94,0.1198521
214.4,0.1201013
214.39,0.1213471
214.38,0.1218455
214.37,0.1220946
214.36,0.1230913
214.35,0.1235897
214.31,0.1243372
214.29,0.1248355
214.27,0.1250847
214.26,0.1253339
213.6,0.1258322
213.59,0.1268289
213.58,0.1273273
213.57,0.1275764
213.56,0.1290715
213.54,0.1293207
213.52,0.129819
213.51,0.1305665
213.5,0.1315632
213.49,0.1320616
213.48,0.1328091
213.46,0.1330582
213.44,0.1335566
213.32,0.1338058
213.17,0.1340549
212.8,0.1343041
212.79,0.1365467
212.78,0.137045
212.77,0.1375434
212.76,0.1380417
212.75,0.1387892
212.74,0.1395367
212.73,0.1397859
212.72,0.1402843
212.71,0.1407826
212.7,0.1420285
212.69,0.1422776
212.68,0.1425268
212.66,0.142776
212.64,0.1437727
212.38,0.1440218
212,0.144271
211.99,0.1457661
211.98,0.1460152
211.97,0.1470119
211.96,0.1472611
211.95,0.1480086
211.94,0.1482578
211.93,0.1487561
211.92,0.150002
211.86,0.1505003
211.83,0.1512479
211.82,0.151497
211.72,0.1517462
211.2,0.1519954
211.19,0.1542379
211.18,0.1549854
211.17,0.1562313
211.16,0.1569788
211.15,0.1579755
211.14,0.1582247
211.13,0.158723
211.12,0.1592214
211.1,0.1599689
211.08,0.1602181
211.06,0.1604672
210.97,0.1609656
210.92,0.1612148
210.85,0.1614639
210.83,0.1617131
210.4,0.1619623
210.39,0.1634573
210.38,0.1642048
210.37,0.1647032
210.34,0.165949
210.33,0.1664474
210.32,0.1671949
210.31,0.1679424
210.3,0.1684408
210.29,0.1686899
210.26,0.1689391
210.23,0.1699358
210.12,0.170185
210.11,0.1706833
210.01,0.1709325
209.98,0.1711817
209.6,0.1714308
209.59,0.1731751
209.58,0.1734242
209.57,0.1739226
209.56,0.1751684
209.55,0.1756668
209.54,0.1761651
209.53,0.1766635
