wpm,pctl
277.57,0
269.79,0.0002536346
267.37,0.0005072692
265.6,0.0007609038
258.79,0.001014538
256,0.001268173
254.8,0.001521808
250.19,0.001775442
248.98,0.002029077
247.39,0.002282711
247.35,0.002536346
245.99,0.00278998
245,0.003043615
243.8,0.00329725
242.76,0.003550884
240.6,0.003804519
237,0.004058153
234.58,0.004311788
234.18,0.004565423
232.6,0.004819057
232.18,0.005072692
231,0.005326326
230.19,0.005579961
229.39,0.005833595
229.16,0.00608723
229,0.006340865
228.97,0.006594499
228.39,0.006848134
226.8,0.007101768
226.78,0.007355403
225.98,0.007609038
225.59,0.007862672
225.33,0.008116307
223.97,0.008369941
223.8,0.008623576
222.39,0.00887721
222.18,0.009130845
222,0.00938448
221.78,0.009638114
221.75,0.009891749
221.59,0.01014538
221.19,0.01039902
221,0.01065265
220.2,0.01090629
220,0.01115992
218.49,0.01141356
218.19,0.01166719
217.82,0.01192083
217.2,0.01217446
217.16,0.01268173
216.91,0.01293536
216.18,0.013189
214.39,0.01344263
214.18,0.01369627
213.6,0.0139499
212.54,0.01445717
212.2,0.01471081
211.59,0.01521808
211.39,0.01547171
211.35,0.01572534
211.11,0.01597898
211,0.01623261
210.98,0.01648625
210.97,0.01699352
210.58,0.01724715
210.37,0.01750079
210.2,0.01775442
209.97,0.01826169
209.79,0.01876896
209.78,0.01902259
209.39,0.01927623
209.38,0.01952986
209.18,0.0197835
208.99,0.02003713
208.98,0.02029077
208.77,0.0205444
208.59,0.02079804
208,0.02105167
207.79,0.02130531
207.57,0.02155894
207.49,0.02206621
206.8,0.02231984
206.6,0.02257348
206.59,0.02282711
206.57,0.02308075
206.4,0.02333438
206.39,0.02358802
206.16,0.02409529
205.59,0.02434892
205.14,0.02460255
204.99,0.02485619
204.98,0.02510982
204.8,0.02536346
204.58,0.02561709
204,0.02587073
203.97,0.026378
203.79,0.02663163
203.77,0.02688527
203.59,0.0271389
203.2,0.02739254
203.19,0.0278998
203,0.02840707
202.99,0.02866071
202.97,0.02891434
202.77,0.02916798
202.59,0.02942161
202.4,0.02967525
202.38,0.03018252
202.18,0.03068978
201.99,0.03094342
201.8,0.03145069
201.6,0.03170432
201.55,0.03195796
201.4,0.03221159
201.38,0.03246523
201.2,0.03271886
201.19,0.03322613
201,0.0337334
200.99,0.0344943
200.98,0.03474794
200.96,0.03500157
200.8,0.03525521
200.79,0.03576248
200.6,0.03601611
200.59,0.03626975
200.58,0.03677701
200.57,0.03703065
200.39,0.03728428
200.2,0.03753792
200.17,0.03804519
200,0.03829882
199.97,0.03855246
199.6,0.03880609
199.4,0.03905973
199.38,0.03931336
199.37,0.039567
199.17,0.04007426
198.79,0.0403279
198.6,0.04058153
198.4,0.0410888
198.39,0.04134244
198.37,0.04159607
198.2,0.04184971
198.16,0.04210334
197.99,0.04235698
197.98,0.04261061
197.97,0.04311788
197.96,0.04337151
197.8,0.04362515
197.77,0.04387878
197.59,0.04413242
197.57,0.04438605
197.4,0.04463969
197.34,0.04489332
197.2,0.04514696
196.8,0.04540059
196.6,0.04565423
196.59,0.04641513
196.54,0.04666876
196.37,0.0469224
196.25,0.04717603
196.2,0.04742967
196.12,0.0476833
196,0.04793694
195.97,0.04819057
195.79,0.04844421
195.59,0.04895147
195.57,0.04920511
195.39,0.04945874
195.18,0.04996601
195,0.05047328
194.99,0.05123419
194.98,0.05148782
194.97,0.05174146
194.8,0.05199509
194.79,0.05250236
194.78,0.05275599
194.6,0.05300963
194.59,0.05326326
194.57,0.05377053
194.4,0.0542778
194.39,0.05453144
194.37,0.05478507
194.32,0.0550387
194.2,0.05529234
194.17,0.05554597
194,0.05579961
193.99,0.05605324
193.98,0.05630688
193.97,0.05656051
193.8,0.05706778
193.77,0.05732142
193.75,0.05782869
193.4,0.05808232
193.38,0.05833595
193.37,0.05858959
193.2,0.05909686
193.17,0.05985776
193.14,0.0601114
193,0.06036503
192.98,0.06061867
192.78,0.0608723
192.77,0.06112593
192.6,0.0616332
192.58,0.06264774
192.4,0.06315501
192.37,0.06340865
192.18,0.06442318
192,0.06467682
191.6,0.06493045
191.59,0.06518409
191.4,0.06543772
191.39,0.06619863
191.38,0.06645226
191.2,0.0667059
191,0.06695953
190.98,0.06772043
190.97,0.06797407
190.96,0.0682277
190.79,0.06873497
190.77,0.06898861
190.76,0.06924224
190.59,0.06949588
190.58,0.07025678
190.4,0.07051041
190.39,0.07076405
190.38,0.07101768
190.37,0.07127132
190.2,0.07152495
190.18,0.07203222
190.17,0.07228586
189.98,0.07279313
189.97,0.07304676
189.8,0.07355403
189.79,0.07380766
189.78,0.07431493
189.77,0.07456857
189.74,0.07507584
189.71,0.07532947
189.6,0.07558311
189.58,0.07634401
189.4,0.07659764
189.39,0.07735855
188.97,0.07761218
188.8,0.07811945
188.6,0.07837309
188.59,0.07888036
188.54,0.07964126
188.4,0.07989489
188.39,0.08014853
188.2,0.0806558
188.19,0.08090943
188.17,0.08116307
188.14,0.0814167
187.98,0.08192397
187.8,0.08217761
187.79,0.08243124
187.78,0.08293851
187.77,0.08344578
187.6,0.08369941
187.59,0.08395305
187.57,0.08420668
187.4,0.08446032
187.39,0.08471395
187.38,0.08547485
187.2,0.08572849
187.19,0.08648939
187,0.08699666
186.99,0.0872503
186.93,0.08750393
186.92,0.08775757
186.79,0.08826484
186.78,0.0887721
186.77,0.08902574
186.6,0.08927937
186.59,0.08953301
186.58,0.08978664
186.4,0.09004028
186.39,0.09054755
186.38,0.09105482
186.37,0.09130845
186.2,0.09181572
186.18,0.09206935
186.17,0.09257662
186.02,0.09308389
186,0.09333753
185.99,0.09409843
185.98,0.0946057
185.97,0.09485933
185.8,0.09511297
185.79,0.0953666
185.78,0.09562024
185.77,0.09612751
185.6,0.09638114
185.59,0.09714205
185.58,0.09739568
185.57,0.09790295
185.4,0.09815658
185.38,0.09866385
185.37,0.09891749
185.34,0.09917112
185.2,0.09942476
185.19,0.09993203
185.18,0.1001857
185,0.1004393
184.99,0.1014538
184.97,0.1019611
184.8,0.102722
184.78,0.1029756
184.6,0.1032293
184.59,0.1034829
184.57,0.1037365
184.55,0.1044974
184.4,0.1047511
184.39,0.1050047
184.37,0.1052584
184.2,0.1060193
184.19,0.1067802
184.16,0.1072874
184.15,0.1075411
184,0.1077947
183.99,0.1085556
183.98,0.1088092
183.97,0.1093165
183.8,0.1095701
183.79,0.1098238
183.78,0.1108383
183.77,0.1113456
183.76,0.1118529
183.74,0.1121065
183.6,0.1123601
183.57,0.1128674
183.4,0.1133747
183.39,0.1136283
183.38,0.1143892
183.36,0.1148965
183.2,0.1151501
183.19,0.1154037
183.18,0.1156574
183.17,0.1161646
183,0.1166719
182.97,0.1171792
182.82,0.1176864
182.8,0.1179401
182.79,0.1181937
182.77,0.1189546
182.76,0.1197155
182.6,0.1199692
182.59,0.1202228
182.58,0.1204764
182.4,0.1207301
182.39,0.1212373
182.38,0.1222519
182.37,0.1227591
182.2,0.1230128
182.19,0.12352
182.18,0.1240273
182.17,0.1245346
182,0.1252955
181.99,0.1268173
181.98,0.1285927
181.95,0.1288464
181.8,0.1291
181.6,0.1298609
181.59,0.1303682
181.58,0.1313827
181.57,0.1316363
181.56,0.13189
181.4,0.1321436
181.39,0.1329045
181.34,0.1339191
181.2,0.1341727
181.18,0.1344263
181.17,0.1349336
181.13,0.1351872
181,0.1354409
180.99,0.1356945
180.98,0.1362018
180.97,0.1364554
180.8,0.136709
180.79,0.1369627
180.77,0.1374699
180.71,0.1382308
180.6,0.1384845
180.59,0.1387381
180.57,0.139499
180.53,0.1397527
180.4,0.1400063
180.39,0.1412745
180.38,0.1427963
180.37,0.1430499
180.36,0.1433035
180.2,0.1435572
180.19,0.1443181
180.18,0.145079
180.17,0.1455863
180,0.1471081
179.99,0.147869
179.8,0.1491371
179.79,0.1506589
179.78,0.1514198
