consistency,pctl
100,0
97.75,0.0002491727
97.49,0.0004983455
97.19,0.001245864
96.96,0.001495036
96.91,0.001744209
96.78,0.001993382
96.77,0.002242555
96.68,0.002491727
96.67,0.002990073
96.55,0.003239246
96.35,0.005232628
96.34,0.005730973
96.3,0.005980146
96.1,0.006478491
96.08,0.006727664
96.03,0.006976837
96.02,0.00722601
96,0.007475182
95.97,0.007724355
95.96,0.007973528
95.92,0.008471873
95.91,0.009219392
95.9,0.009468564
95.89,0.009717737
95.88,0.00996691
95.84,0.0109636
95.82,0.01146195
95.78,0.01171112
95.77,0.01196029
95.73,0.01245864
95.7,0.01270781
95.65,0.01295698
95.61,0.01345533
95.58,0.01445202
95.55,0.01519954
95.54,0.0164454
95.52,0.01694375
95.5,0.01744209
95.49,0.01794044
95.46,0.01818961
95.44,0.01868796
95.43,0.01893713
95.41,0.0191863
95.39,0.02043217
95.38,0.02068134
95.37,0.02142886
95.36,0.02167803
95.31,0.0219272
95.3,0.02217637
95.29,0.02242555
95.26,0.02317307
95.25,0.02416976
95.23,0.02441893
95.2,0.02691066
95.17,0.02765817
95.16,0.02840569
95.15,0.02890404
95.13,0.02965156
95.12,0.0301499
95.11,0.03164494
95.1,0.03214328
95.08,0.03239246
95.07,0.03313998
95.05,0.03463501
95.04,0.03588088
94.99,0.03687757
94.95,0.03787426
94.94,0.03912012
94.92,0.04061516
94.91,0.04136268
94.9,0.04335606
94.89,0.04485109
94.88,0.04510027
94.87,0.04584779
94.86,0.0465953
94.84,0.04709365
94.83,0.04858869
94.82,0.04883786
94.81,0.04983455
94.8,0.05058207
94.79,0.05108041
94.78,0.05182793
94.77,0.05332297
94.76,0.05531635
94.75,0.0585556
94.74,0.0602998
94.73,0.06104732
94.71,0.06528326
94.7,0.06553243
94.69,0.06578161
94.68,0.06827333
94.67,0.06852251
94.66,0.07001754
94.65,0.07201092
94.64,0.07400431
94.63,0.07574851
94.62,0.07599769
94.61,0.07624686
94.59,0.07699438
94.58,0.07749272
94.57,0.07873859
94.56,0.07973528
94.54,0.08098114
94.53,0.08172866
94.52,0.0832237
94.51,0.08621377
94.5,0.08646294
94.49,0.08671212
94.48,0.08721046
94.47,0.08845633
94.46,0.08945302
94.45,0.09368895
94.44,0.09493482
94.43,0.09568233
94.42,0.09667903
94.41,0.09742654
94.39,0.1041542
94.38,0.1044034
94.37,0.1058984
94.36,0.1076426
94.35,0.1078918
94.34,0.109636
94.33,0.1098852
94.31,0.1121277
94.3,0.1143703
94.29,0.1188554
94.28,0.1193537
94.27,0.1203504
94.26,0.1213471
94.25,0.1243372
94.24,0.1270781
94.23,0.1288223
94.22,0.1340549
94.21,0.1343041
94.19,0.1362975
94.18,0.1387892
94.17,0.1400351
94.16,0.1447694
94.15,0.1452677
94.14,0.1465136
94.13,0.1487561
94.12,0.1509987
94.11,0.1547363
94.09,0.1589722
94.08,0.1637065
94.07,0.1694375
94.05,0.1704342
94.04,0.1731751
94.03,0.1739226
94.02,0.1764143
94.01,0.1804011
94,0.183142
93.98,0.1833911
93.97,0.1843878
93.96,0.1881254
93.95,0.1883746
93.94,0.1951023
93.93,0.1978432
93.92,0.199089
93.91,0.1998365
93.9,0.2045708
93.89,0.2070626
93.87,0.2090559
93.86,0.2152853
93.85,0.2245046
93.84,0.2284914
93.83,0.2297373
93.82,0.2342224
93.81,0.2349699
93.8,0.2377108
93.79,0.2382091
93.78,0.2392058
93.77,0.2459335
93.76,0.2526612
93.74,0.2549037
93.73,0.2628772
93.72,0.2641231
93.71,0.2656181
93.7,0.2676115
93.69,0.2686082
93.68,0.2715983
93.67,0.2755851
93.66,0.2815652
93.65,0.287047
93.64,0.2920305
93.62,0.2965156
93.61,0.2995056
93.6,0.3037416
93.59,0.3184428
93.58,0.3186919
93.57,0.3214328
93.56,0.327413
93.55,0.3326456
93.54,0.3470976
93.53,0.3508352
93.51,0.3583104
93.5,0.3610513
93.49,0.3645397
93.48,0.369274
93.47,0.3722641
93.46,0.3777459
93.45,0.3804868
93.44,0.3809851
93.43,0.387962
93.42,0.3941913
93.41,0.4011681
93.4,0.4064007
93.39,0.415371
93.38,0.4248395
93.37,0.4360523
93.36,0.4363015
93.34,0.4475143
93.33,0.4502552
93.32,0.4562353
93.31,0.4634613
93.3,0.4642088
93.28,0.4686939
93.27,0.4734282
93.26,0.4761691
93.25,0.4771658
93.24,0.4838935
93.23,0.4901228
93.22,0.5068174
93.21,0.5075649
93.2,0.51205
93.19,0.5175318
93.18,0.5187777
93.17,0.5247578
93.16,0.5309871
93.15,0.540954
93.14,0.5471834
93.13,0.5561536
93.12,0.5613862
93.11,0.5711039
93.1,0.5810708
93.09,0.5982638
93.08,0.5985129
93.07,0.5995096
93.06,0.6059881
93.05,0.6157059
93.04,0.6162042
93.03,0.6301579
93.02,0.6381314
93.01,0.6560718
93,0.6608061
92.99,0.6700255
92.98,0.6717697
92.97,0.6777499
92.96,0.6919527
92.95,0.6922019
92.94,0.7049097
92.93,0.7270861
92.92,0.7397939
92.91,0.7522525
92.9,0.7729339
92.89,0.791871
92.88,0.8075689
92.87,0.807818
92.86,0.8083164
92.85,0.8103098
92.84,0.8137982
92.83,0.825011
92.82,0.8252601
92.81,0.8324861
92.8,0.8407088
92.79,0.8424531
92.78,0.8459415
92.77,0.8469382
92.76,0.8603935
92.75,0.8671212
92.74,0.8763405
92.73,0.8773372
92.72,0.8902942
92.71,0.9059921
92.7,0.928916
92.69,0.9421222
92.67,0.9453614
92.66,0.949099
92.65,0.9675378
92.64,0.9685345
92.62,0.9747638
92.61,0.9812423
92.6,0.9877208
92.59,1.002173
92.58,1.01812
92.57,1.049266
92.56,1.062722
92.55,1.077174
92.54,1.113304
92.53,1.11754
92.52,1.118038
92.51,1.124517
92.5,1.130497
92.49,1.150431
92.48,1.152175
92.47,1.176095
92.46,1.185066
92.45,1.186561
92.44,1.200265
92.43,1.209983
92.42,1.235398
92.41,1.279253
92.4,1.280997
92.39,1.288472
92.38,1.31015
92.37,1.310399
92.36,1.336812
92.35,1.364719
92.34,1.387145
92.33,1.387643
92.32,1.419537
92.31,1.434488
92.3,1.455916
92.29,1.476847
92.28,1.53914
92.27,1.540635
92.26,1.542628
92.25,1.551848
92.24,1.553841
92.23,1.556084
92.22,1.567546
92.21,1.593958
92.2,1.59645
92.19,1.612148
92.18,1.623111
92.17,1.628095
92.16,1.632081
92.15,1.651517
92.14,1.652015
92.13,1.667962
92.12,1.679673
92.11,1.68366
92.1,1.699856
92.09,1.701352
92.08,1.723528
92.07,1.73499
92.06,1.748694
92.05,1.772864
92.04,1.802017
92.03,1.825689
92.02,1.831171
