raw,pctl
192.79,0.1070338
192.77,0.1075411
192.6,0.1077947
192.58,0.108302
192.57,0.1088092
192.4,0.1090629
192.39,0.1098238
192.37,0.110331
192.2,0.1105847
192,0.1108383
191.99,0.1110919
191.98,0.1115992
191.97,0.1121065
191.77,0.1123601
191.6,0.1126138
191.59,0.1128674
191.58,0.1136283
191.4,0.1138819
191.39,0.1146428
191.38,0.1154037
191.2,0.1156574
191.19,0.115911
191.18,0.1161646
191.17,0.1164183
191.14,0.1166719
191,0.1169255
190.99,0.1181937
190.98,0.118701
190.96,0.1189546
190.79,0.1192083
190.75,0.1194619
190.67,0.1197155
190.6,0.1199692
190.59,0.1207301
190.57,0.1209837
190.56,0.1212373
190.53,0.121491
190.42,0.1217446
190.4,0.1219982
190.39,0.1222519
190.37,0.1230128
190.32,0.1240273
190.2,0.1242809
190.17,0.1247882
190,0.1255491
189.99,0.1260564
189.98,0.12631
189.97,0.1268173
189.8,0.1273246
189.79,0.1278318
189.77,0.1280855
189.76,0.1288464
189.74,0.1291
189.6,0.1296073
189.59,0.1303682
189.57,0.1308754
189.54,0.1311291
189.4,0.1313827
189.39,0.1326509
189.38,0.1339191
189.37,0.1341727
189.2,0.1344263
189.19,0.1351872
189.02,0.1356945
189,0.1359481
188.99,0.1364554
188.98,0.1369627
188.97,0.1372163
188.96,0.1374699
188.95,0.1377236
188.93,0.1382308
188.8,0.1384845
188.78,0.1392454
188.77,0.139499
188.76,0.1400063
188.75,0.1402599
188.6,0.1405136
188.59,0.1410208
188.58,0.1417817
188.57,0.1420354
188.4,0.1425426
188.39,0.1427963
188.37,0.1440644
188.34,0.1443181
188.33,0.1445717
188.2,0.1448253
188.19,0.1455863
188.18,0.1460935
188.17,0.1463472
188,0.1466008
187.99,0.1473617
187.97,0.1481226
187.96,0.1483762
187.8,0.1486299
187.79,0.149898
187.78,0.1504053
187.59,0.1506589
187.58,0.1509126
187.4,0.1511662
187.39,0.1519271
187.34,0.1521808
187.2,0.1524344
187.19,0.152688
187.18,0.1539562
187.17,0.1542098
187,0.1547171
186.99,0.1552244
186.95,0.155478
186.8,0.1557316
186.79,0.1562389
186.77,0.1567462
186.75,0.1569998
186.73,0.1572534
186.72,0.1575071
186.6,0.1577607
186.59,0.1580143
186.58,0.1585216
186.57,0.1590289
186.55,0.1592825
186.4,0.1595362
186.39,0.1600434
186.38,0.1608043
186.37,0.161058
186.2,0.1618189
186.19,0.1623261
186.17,0.1635943
186.14,0.1638479
185.99,0.1641016
185.98,0.1643552
185.97,0.1651161
185.86,0.1656234
185.8,0.165877
185.79,0.1661307
185.78,0.1663843
185.77,0.1668916
