delta,pctl
95.98383,0.9057429
95.98234,0.9059921
95.9791,0.9067396
95.97885,0.9069888
95.97661,0.907238
95.96066,0.9079855
95.95418,0.9117231
95.93873,0.9137165
95.88217,0.9182016
95.84903,0.9331519
95.79496,0.9423713
95.71224,0.9588167
95.71199,0.9807439
95.71149,0.9809931
95.71099,0.9812423
95.71049,0.9814914
95.70974,0.9817406
95.708,0.9819898
95.70526,0.9829865
95.70451,0.9842323
95.70302,0.9844815
95.69255,0.9847307
95.68532,0.9869732
95.66714,0.9892158
95.6011,0.9944484
95.56821,1.009399
95.50193,1.018369
95.41024,1.037057
95.40974,1.059732
95.40874,1.059981
95.40625,1.06023
95.40426,1.060479
95.40351,1.060728
95.40226,1.060978
95.39006,1.061227
95.38059,1.063469
95.36738,1.06621
95.29911,1.070197
95.26223,1.088387
95.20617,1.097855
95.10998,1.116045
95.10874,1.139716
95.10675,1.139965
95.1055,1.140464
95.10226,1.140962
95.10052,1.14171
95.09902,1.141959
95.08582,1.142208
95.07311,1.1447
95.05367,1.148686
94.97867,1.155165
94.9398,1.172856
94.87601,1.184816
94.76712,1.202508
94.76638,1.229917
94.76588,1.230166
94.76563,1.230415
94.76463,1.230664
94.76413,1.230913
94.76388,1.231163
94.76164,1.231412
94.76089,1.232159
94.75965,1.232408
94.7579,1.232907
94.74196,1.233903
94.73099,1.238389
94.71106,1.241877
94.63955,1.24686
94.60018,1.263555
94.53838,1.275017
94.42625,1.294951
94.42551,1.325101
94.42501,1.32535
94.42376,1.325599
94.42326,1.325848
94.42152,1.326097
94.41928,1.326596
94.41828,1.326845
94.41654,1.327094
94.41429,1.327592
94.39835,1.32834
94.38664,1.333573
94.36845,1.336064
94.29369,1.341795
94.25881,1.359487
94.18854,1.371945
94.08813,1.39163
94.08638,1.419039
94.0824,1.419537
94.07941,1.420285
94.0667,1.421032
94.06172,1.424271
94.0515,1.425766
94.03306,1.42776
93.95009,1.434737
93.90872,1.454421
93.83746,1.466631
93.71337,1.490053
93.71188,1.51821
93.71113,1.518459
93.70789,1.518708
93.70415,1.519206
93.70291,1.520203
93.68671,1.520701
93.68123,1.52419
93.66553,1.525934
93.64335,1.530668
93.56885,1.537894
93.52226,1.56032
93.44526,1.573277
93.31968,1.593958
93.31769,1.624357
93.31669,1.624855
93.31619,1.625105
93.31121,1.625603
93.30896,1.625852
93.29277,1.626849
93.28579,1.631334
93.26885,1.633327
93.24717,1.638311
93.15871,1.646783
93.11411,1.671202
93.04061,1.687647
92.9068,1.707082
92.90655,1.742963
92.90481,1.743213
92.90331,1.743711
92.90256,1.744458
92.90207,1.744957
92.90182,1.745206
92.90132,1.745455
92.89783,1.745704
92.89509,1.746452
92.88039,1.746701
92.87391,1.751186
92.85971,1.752681
92.84251,1.758661
92.76253,1.763645
92.71643,1.78607
92.63595,1.80127
92.49816,1.824194
92.49741,1.863563
92.49691,1.863812
92.49591,1.86431
92.49542,1.86456
92.49517,1.864809
92.49442,1.865058
92.49417,1.865307
92.49043,1.865556
92.48844,1.866802
92.48595,1.867301
92.46826,1.868297
92.45904,1.873779
92.44259,1.875772
92.36136,1.880507
92.33096,1.8977
92.28163,1.90667
92.20089,1.91863
92.05264,1.941803
92.05214,1.977684
92.05189,1.977933
92.05114,1.978182
92.05064,1.978432
92.05039,1.978681
92.0484,1.97893
92.04715,1.979179
92.04342,1.979428
92.04192,1.980923
92.04092,1.981173
92.03893,1.981671
92.02298,1.982169
92.01526,1.985658
91.99807,1.988149
91.9141,1.993382
91.87846,2.016057
91.82738,2.027269
91.73992,2.040974
91.60163,2.070127
91.60113,2.108749
91.60039,2.108998
91.59989,2.109247
91.59939,2.109496
91.59441,2.109746
91.59191,2.11149
91.59067,2.112736
91.58917,2.113732
91.57198,2.113982
91.56351,2.117221
91.54532,2.119463
91.46259,2.124447
91.42796,2.143633
91.38734,2.153102
91.30586,2.163318
91.15337,2.188983
91.15312,2.229349
91.15287,2.229598
91.15188,2.229847
91.15113,2.230096
91.14938,2.230345
91.14639,2.230594
91.1459,2.231093
91.14291,2.231342
91.14216,2.233086
91.14091,2.233584
91.13842,2.234083
91.12048,2.23508
91.10927,2.240561
91.09183,2.243302
91.01358,2.249033
90.98343,2.265977
90.9346,2.274698
90.8439,2.290396
90.68493,2.318054
90.68343,2.363154
90.68243,2.363653
90.67969,2.363902
90.67895,2.365148
90.67745,2.365397
90.67297,2.365646
90.67097,2.366144
90.66873,2.366394
90.6473,2.366892
90.63708,2.374616
90.61765,2.377606
90.53517,2.383836
90.4973,2.40352
90.44746,2.416976
90.36125,2.431428
90.19281,2.454102
90.19107,2.500449
90.18758,2.500698
90.18234,2.500947
90.1821,2.502691
90.18035,2.50294
90.16241,2.503439
90.15319,2.507924
90.14322,2.510914
90.12229,2.514153
90.03882,2.520133
90.00518,2.545798
89.94613,2.555765
89.86465,2.574453
89.70169,2.601862
89.70069,2.651447
89.69721,2.651696
89.69397,2.652195
89.69222,2.652942
89.69023,2.653939
89.67528,2.654936
89.6693,2.658175
89.65908,2.65967
89.63765,2.663158
89.53773,2.669388
89.49961,2.694803
89.4413,2.707013
89.34687,2.726448
89.17344,2.756349
89.17245,2.806183
89.1717,2.806433
89.16871,2.806682
89.16796,2.80718
89.16771,2.807679
89.16472,2.807928
89.16373,2.808426
89.16173,2.808675
89.14628,2.809423
89.1413,2.81316
89.1271,2.814157
89.10592,2.81939
89.01323,2.826366
88.98009,2.847546
88.91929,2.856766
88.8261,2.873211
88.65392,2.900371
88.65118,2.952199
88.65093,2.952946
88.64993,2.953195
88.64943,2.953694
88.64894,2.953943
88.64545,2.954192
88.6447,2.955438
88.62626,2.955687
88.62153,2.96092
88.60707,2.962166
88.58739,2.967897
88.48473,2.972133
88.45134,2.998296
88.39328,3.009508
88.30782,3.023213
88.12642,3.046635
88.12617,3.099211
88.12592,3.09946
88.12493,3.099709
88.12418,3.099958
88.12368,3.100706
88.12318,3.100955
88.12293,3.101204
88.12243,3.101453
88.12169,3.101952
88.11994,3.102201
88.11969,3.10245
88.1187,3.102699
88.11571,3.102948
88.11471,3.103447
88.11346,3.103945
88.11122,3.104443
88.09577,3.105689
88.08929,3.110673
88.0721,3.113413
88.05217,3.116902
87.95424,3.122882
87.91238,3.152534
87.84411,3.166238
87.73896,3.188913
87.55108,3.217069
87.55083,3.273382
87.54959,3.273632
87.54834,3.273881
87.54734,3.27413
87.54709,3.274379
87.54635,3.274628
87.5456,3.275127
87.5446,3.275376
87.5441,3.276123
87.53862,3.276372
87.53787,3.278117
87.53688,3.278615
87.53389,3.278864
87.51545,3.279861
87.50847,3.286589
87.49003,3.290077
87.46836,3.29506
87.36694,3.303283
87.3196,3.333184
87.26054,3.348383
87.15265,3.366324
86.95506,3.397969
86.95456,3.451043
86.95431,3.451292
86.95282,3.451541
86.95157,3.45179
86.95032,3.452288
86.95008,3.452538
86.94858,3.452787
86.94758,3.453036
86.94634,3.453534
86.94036,3.454033
86.93911,3.456524
86.93612,3.456774
86.91444,3.458518
86.90448,3.463252
86.88504,3.466242
86.86361,3.472721
86.75373,3.481442
86.70663,3.512837
86.63188,3.529781
86.52798,3.554449
86.32042,3.585097
86.32017,3.645646
86.31992,3.645896
86.31917,3.646145
86.31892,3.646394
86.31743,3.646643
86.31693,3.646892
86.31643,3.647141
86.31394,3.647391
86.31344,3.647889
86.31244,3.648138
86.30995,3.648387
86.30522,3.648886
86.30397,3.650879
86.29973,3.651377
86.29699,3.652872
86.27781,3.653869
86.27158,3.659849
86.25065,3.661843
86.22623,3.666577
86.11186,3.674052
86.06701,3.703953
86.00023,3.717159
85.89134,3.736096
85.69524,3.771977
85.69474,3.828788
85.6935,3.829038
85.69126,3.829287
85.68851,3.830034
85.68752,3.830283
85.68652,3.830533
85.68228,3.831031
85.68154,3.832028
85.68054,3.832277
85.67755,3.832526
85.67506,3.833523
85.65562,3.834519
85.64566,3.839752
85.62747,3.844486
85.59782,3.852958
85.48818,3.862925
85.44632,3.892327
85.38353,3.907029
85.27489,3.925717
85.07306,3.959853
85.07256,4.01816
85.07081,4.018409
85.06807,4.018658
85.06658,4.019156
85.0606,4.019655
85.0591,4.02115
85.05761,4.021897
85.03668,4.022645
85.03194,4.026881
85.02223,4.028874
85.00229,4.032861
84.97787,4.036848
84.85952,4.047064
84.81168,4.078958
84.74365,4.091666
84.61981,4.109606
84.40527,4.142995
84.40503,4.208029
84.40453,4.208279
84.40428,4.208528
84.40328,4.208777
84.40079,4.209026
84.40054,4.210023
84.39182,4.210272
84.39132,4.211767
84.38933,4.212016
84.38634,4.212764
84.3689,4.214009
84.36391,4.220737
84.3532,4.222731
84.33426,4.226966
84.31358,4.233943
84.19248,4.24092
84.14314,4.274808
84.07562,4.291502
83.96299,4.314924
83.74621,4.347068
83.74272,4.410358
83.74198,4.410856
83.73849,4.411105
83.73674,4.412849
83.736,4.413099
83.73276,4.413348
83.73176,4.414344
83.72977,4.414594
83.72827,4.415341
83.7051,4.41559
83.70012,4.42157
83.68591,4.423315
83.66847,4.428298
83.6438,4.435524
83.53043,4.444494
83.4791,4.478382
83.40858,4.495326
83.29297,4.518
83.07519,4.552386
83.07494,4.621158
83.07444,4.621407
83.07419,4.621656
83.07345,4.621905
83.0727,4.622154
83.07245,4.622404
83.0722,4.622653
83.0712,4.622902
83.07071,4.6234
83.06896,4.623649
83.06871,4.624397
83.06323,4.624646
83.06198,4.625643
83.06049,4.62639
83.05775,4.626889
83.04006,4.628135
83.03433,4.634115
83.02062,4.635361
83.00019,4.640095
82.97353,4.645577
82.84471,4.656789
82.79288,4.694913
82.71713,4.711109
82.604,4.737023
82.38598,4.769914
82.38523,4.83146
82.38448,4.831709
82.38374,4.831958
82.38174,4.832207
82.38124,4.832705
82.379,4.832955
82.37726,4.833453
82.37651,4.833702
82.37103,4.833951
82.36978,4.835197
82.36879,4.836443
82.36704,4.837191
82.34711,4.837938
82.33963,4.844417
82.32867,4.84641
82.30525,4.850397
82.28058,4.85538
82.15475,4.862108
82.10367,4.899235
82.02767,4.914683
81.90607,4.937607
81.67733,4.971744
81.67708,5.042011
81.67658,5.04226
81.67484,5.042509
81.67459,5.042758
81.67384,5.043007
81.6726,5.043506
81.6721,5.044004
81.67135,5.044253
81.66637,5.044502
81.66562,5.045997
81.66487,5.046246
81.66263,5.046496
81.65964,5.047492
81.6422,5.048489
81.63746,5.053223
81.62177,5.055715
81.60034,5.059951
81.47924,5.066679
81.44411,5.106048
81.39153,5.118008
81.31927,5.136696
81.19468,5.157627
80.97118,5.19575
80.97068,5.262528
80.96819,5.262778
80.96619,5.263027
80.96594,5.263276
80.9652,5.263525
80.95996,5.263774
80.95872,5.26502
80.95722,5.265269
80.95573,5.266017
80.93355,5.266764
80.92732,5.271997
80.91486,5.274738
80.89443,5.277728
80.78305,5.284456
80.74842,5.315353
80.69758,5.324822
80.62607,5.341765
80.50423,5.364689
80.28271,5.407049
80.28171,5.477564
80.28147,5.477814
80.28122,5.478063
80.28072,5.478312
80.27972,5.478561
80.27623,5.47881
80.27573,5.479558
80.27474,5.479807
80.26801,5.480056
80.26701,5.481053
80.26527,5.481551
80.2401,5.4818
80.23088,5.489774
80.21344,5.493262
80.19002,5.49999
80.07465,5.506469
80.0313,5.541353
79.97723,5.558795
79.90222,5.575739
79.76892,5.598413
79.53793,5.640773
79.53694,5.715275
79.53619,5.715524
79.53519,5.715774
79.53445,5.716023
79.5342,5.716272
79.5327,5.716521
79.53146,5.71677
79.53096,5.717019
79.52423,5.717269
79.52323,5.718515
79.52174,5.719013
79.51999,5.719262
79.51651,5.719511
79.49832,5.720757
79.48959,5.727734
79.47489,5.731472
79.45346,5.737202
79.32938,5.74393
79.2915,5.78305
79.24441,5.795758
79.16094,5.808964
79.03859,5.833882
78.80337,5.871008
78.80287,5.943518
78.80238,5.943767
78.80113,5.944265
78.79988,5.944763
78.79914,5.945262
78.79764,5.945511
78.79565,5.946258
78.7954,5.946757
78.79465,5.947006
78.79415,5.947504
78.78518,5.948003
78.78294,5.951242
78.78219,5.95174
