pctl,raw60,raw15,mult,gap
79.5,56.18,71.19,1.267177,15.01
80,55.77,71.14,1.275596,15.37
80.5,55.19,70.38,1.275231,15.19
81,54.79,69.59,1.270122,14.8
81.5,54.39,69.54,1.278544,15.15
82,53.98,68.77,1.27399,14.79
82.5,53.57,67.98,1.268994,14.41
83,52.99,67.19,1.267975,14.2
83.5,52.59,67.15,1.276859,14.56
84,52.18,66.37,1.271943,14.19
84.5,51.59,65.59,1.27137,14
85,51.19,64.79,1.265677,13.6
85.5,50.78,64.75,1.275108,13.97
86,50.19,63.96,1.274357,13.77
86.5,49.78,63.18,1.269184,13.4
87,49.19,62.39,1.268347,13.2
87.5,48.78,61.59,1.262608,12.81
88,48.19,61.53,1.276821,13.34
88.5,47.76,60.75,1.271985,12.99
89,47.18,59.96,1.270877,12.78
89.5,46.58,59.16,1.270073,12.58
90,45.98,58.36,1.269247,12.38
90.5,45.38,57.56,1.2684,12.18
91,44.77,56.76,1.267813,11.99
91.5,43.99,55.95,1.27188,11.96
92,43.38,55.14,1.271093,11.76
92.5,42.59,53.59,1.258277,11
93,41.98,52.79,1.257504,10.81
93.5,41.18,51.98,1.262263,10.8
94,40.39,51.16,1.26665,10.77
94.5,39.58,49.59,1.252906,10.01
95,38.59,48.76,1.26354,10.17
95.5,37.59,47.19,1.255387,9.6
96,36.59,46.34,1.266466,9.75
96.5,35.58,44.76,1.25801,9.18
97,34.19,43.16,1.262357,8.97
97.5,32.79,40.79,1.243977,8
98,31.19,39.15,1.25521,7.96
98.5,29.38,35.99,1.224983,6.61
99,26.59,32.78,1.232794,6.19
99.5,22.59,27.95,1.237273,5.36
