rank,name,wpm,raw,accuracy,consistency,diff
489,manCalledHero,113.40,113.40,99.47,80.35,0.00
490,CHuCK1277,113.40,113.40,98.10,79.69,0.00
491,whalemoonOG,113.39,114.39,98.79,80.04,1.00
492,J_Makker1,113.37,113.37,96.45,67.91,0.00
493,EpicEmerald,113.20,113.20,97.94,73.42,0.00
494,nyfex1,113.19,113.19,97.59,74.17,0.00
495,sumopro_123,113.19,116.99,96.85,73.52,3.80
496,frx3d,113.19,119.99,95.29,75.37,6.80
497,jandecooleman,113.18,114.18,96.37,66.11,1.00
498,ShailDoesTyping,113.00,115.40,98.11,80.59,2.40
499,aKjiSsOG,113.00,115.60,97.95,82.88,2.60
500,jajeqsa,113.00,114.20,97.59,73.43,1.20
501,timefaker,113.00,113.00,96.00,69.45,0.00
502,fangahawk,112.99,118.99,96.03,76.17,6.00
503,OSarbu,112.80,115.40,98.62,77.73,2.60
504,kyostx,112.80,115.80,98.11,84.00,3.00
505,yyukime,112.80,112.80,96.64,75.56,0.00
506,RuckAF,112.79,115.79,97.45,80.36,3.00
507,d1rsh,112.79,122.79,95.62,81.02,10.00
508,yosawa0210,112.78,116.98,97.30,73.54,4.20
509,dannyhaile,112.60,115.20,95.97,73.49,2.60
510,mantisislandboy,112.60,120.80,94.37,69.70,8.20
511,lavael,112.59,112.59,98.77,77.46,0.00
512,tyvuuybiobuo,112.40,122.40,96.41,79.06,10.00
513,Eddist,112.40,130.60,91.32,76.49,18.20
514,denpmtn,112.37,114.97,97.79,73.94,2.60
515,narze,112.20,113.20,97.76,77.21,1.00
516,c8880801,112.20,116.60,97.45,79.42,4.40
517,cathexis,112.19,113.19,98.95,80.67,1.00
518,highgih,112.19,113.79,97.59,74.53,1.60
519,AJPare,112.19,118.19,93.61,75.96,6.00
520,ele_2305,112.00,114.80,98.27,78.60,2.80
521,varun325,112.00,115.80,95.77,77.62,3.80
522,JunoMu,112.00,121.60,95.28,81.51,9.60
523,emin_a,112.00,122.00,94.47,79.88,10.00
524,skyreasna,112.00,124.00,92.58,83.36,12.00
525,Gastrail,111.99,119.99,95.05,76.94,8.00
526,ZachieRose,111.80,117.60,95.50,79.34,5.80
527,gapehorn33911,111.80,114.20,94.64,75.63,2.40
528,SpiderPig_789,111.80,123.60,93.97,73.95,11.80
529,KillerSeven,111.79,127.19,91.58,75.86,15.40
530,rusdianlaola,111.59,111.59,97.39,77.35,0.00
531,masoncubes,111.59,116.39,94.52,73.26,4.80
532,Dndik0,111.59,118.59,94.24,73.40,7.00
533,Phantom_1,111.59,116.39,93.59,69.83,4.80
534,DavidNg,111.57,115.17,97.07,76.97,3.60
535,gent.ntm,111.40,111.40,97.39,77.76,0.00
536,JelloThereMate,111.40,122.20,94.80,76.73,10.80
537,ktiong,111.39,112.39,98.42,79.80,1.00
538,JasperTheYeena,111.39,114.99,98.11,76.11,3.60
539,iwanoo,111.39,112.19,94.97,76.19,0.80
540,Sollara,111.38,112.38,97.91,75.79,1.00
541,Budderbear,111.38,115.58,97.75,88.32,4.20
542,BigManTing,111.38,116.18,94.26,68.12,4.80
543,yellowmellow41,111.20,113.80,97.07,75.31,2.60
544,surrogateself,111.20,120.60,95.86,84.10,9.40
545,3bduo,111.20,117.20,95.62,78.68,6.00
546,thanhpro,111.19,111.19,99.11,82.02,0.00
547,Saksham_1973,111.19,113.19,96.59,71.88,2.00
548,chenerdtheIII,111.19,120.39,94.14,81.17,9.20
549,Yoinkies,111.18,112.38,98.42,83.41,1.20
550,chlorineboii,111.00,113.20,97.58,74.65,2.20
551,faisl707,111.00,111.00,96.07,69.66,0.00
552,notpaul,111.00,113.20,95.88,66.48,2.20
553,Cheese_Wizard,111.00,122.80,95.00,77.40,11.80
554,unnitmetaliya,111.00,123.00,94.80,79.96,12.00
555,Dhvanil,111.00,116.60,92.78,70.42,5.60
556,hikiro,110.99,113.39,97.91,81.82,2.40
557,Lovin24,110.99,114.39,95.61,74.53,3.40
558,pa7i3nt,110.80,112.40,96.89,76.01,1.60
559,BeepTheSheep,110.80,110.80,96.68,73.97,0.00
560,JagrajBenipal,110.80,117.00,94.33,75.01,6.20
561,qsabr,110.80,120.00,94.23,78.95,9.20
562,unnameduser97356All,110.79,118.79,96.80,83.03,8.00
563,idonteventry,110.79,125.79,93.22,75.18,15.00
564,ilvnosg,110.60,145.00,85.56,78.63,34.40
565,Enetil,110.59,112.18,98.58,82.20,1.59
566,MasterlyHoney,110.59,110.59,98.41,79.73,0.00
567,szulerrr,110.59,110.59,98.23,78.38,0.00
568,Fragilee,110.40,110.40,98.92,79.29,0.00
569,erwintalento,110.39,110.39,98.23,76.27,0.00
570,fasttyper11471,110.39,116.19,97.42,82.11,5.80
571,Schrodinger_1,110.37,112.57,97.21,78.98,2.20
572,OscarH.C.,110.20,112.00,96.53,74.33,1.80
573,minhhoccode,110.20,110.80,95.92,80.57,0.60
574,katybird310,110.20,113.40,94.11,76.12,3.20
575,MrMayDay,110.00,113.40,95.73,71.32,3.40
576,tyboydigital,110.00,115.20,92.50,66.05,5.20
577,Xchyler-Drenth,109.99,121.79,94.59,82.12,11.80
578,0KK,109.99,121.79,94.11,86.77,11.80
579,Zollgroot,109.80,121.40,93.63,77.16,11.60
580,Okh,109.80,118.40,93.03,74.14,8.60
581,he_tumyp,109.79,129.19,91.03,74.54,19.40
582,Desser,109.78,109.78,98.75,74.26,0.00
583,Magicall,109.78,114.38,96.26,75.02,4.60
584,rakim0,109.60,109.60,97.16,75.13,0.00
585,NKeech,109.59,111.59,98.92,82.30,2.00
586,wangyifei2025,109.59,112.39,98.75,83.70,2.80
587,VioleRao,109.59,116.99,96.42,81.09,7.40
588,dbp-lmao,109.40,126.00,92.16,73.40,16.60
589,chloelu,109.39,109.99,97.86,72.85,0.60
590,ipatrick7,109.39,109.39,97.53,79.76,0.00
591,AlphaKappa,109.38,113.78,95.57,78.07,4.40
592,Wortho,109.37,118.17,95.12,83.54,8.80
593,prayforwinterSupporter,109.20,111.00,97.05,71.58,1.80
594,raneyday,109.19,109.19,96.68,72.87,0.00
595,smoke_type,109.19,123.39,93.84,82.15,14.20
596,Vannise,109.19,133.99,90.90,84.65,24.80
597,ApuRv_2611,109.16,113.96,95.71,76.98,4.80
598,racyislame,109.00,109.00,94.52,73.95,0.00
599,nicque_,109.00,116.60,94.26,76.85,7.60
600,Green_Toothbrush,109.00,118.60,93.54,77.95,9.60
601,olekolek1000,109.00,115.40,91.52,68.33,6.40
602,abend,108.99,108.99,98.55,81.73,0.00
603,NuclearDragon,108.99,110.99,97.34,68.79,2.00
604,AverageCelia,108.99,113.39,96.37,77.50,4.40
605,gurbtype,108.98,131.98,86.70,69.61,23.00
606,Anand1,108.97,111.17,97.69,79.77,2.20
607,gabrielpires,108.80,114.00,97.20,75.62,5.20
608,eddebebben,108.80,141.40,86.57,80.85,32.60
609,iuselinux,108.79,116.19,93.75,75.27,7.40
610,joaquinb,108.60,108.60,99.45,85.41,0.00
611,kurtluko,108.60,113.20,96.85,79.60,4.60
612,frozty,108.60,110.80,96.83,72.63,2.20
613,NamlessB,108.60,113.40,95.37,78.73,4.80
614,zzZehran,108.59,109.59,98.56,79.51,1.00
615,hackerman21,108.40,108.40,97.49,77.83,0.00
616,bob_mt,108.20,111.80,98.75,85.14,3.60
617,crystalinx,108.20,116.20,95.92,81.86,8.00
618,izumi_miyamura,108.19,117.18,94.95,75.63,8.99
619,potatoflux,108.19,113.19,94.44,77.06,5.00
620,Ezty,108.18,108.18,96.11,73.61,0.00
621,Vega_,108.00,108.00,97.13,69.28,0.00
622,RinMac,108.00,108.00,95.52,75.54,0.00
623,Regenium,108.00,123.20,91.32,74.94,15.20
624,JonaKim,107.99,107.99,97.83,78.66,0.00
625,tonycwater1,107.80,107.80,96.16,73.83,0.00
626,JamaikaMozelle,107.80,107.80,95.26,73.13,0.00
627,boatjamse,107.80,111.60,94.63,74.74,3.80
628,haydendavis,107.80,117.00,93.82,75.03,9.20
629,bestpenguin,107.80,137.00,86.57,80.92,29.20
630,Fateh_Mammadli,107.79,110.59,92.01,70.75,2.80
631,Epsilon.,107.78,120.78,94.55,69.34,13.00
632,christmas_heist,107.60,107.60,97.47,73.01,0.00
633,ArjunVarshney,107.60,111.60,96.98,80.13,4.00
634,zeirin,107.58,107.58,96.97,76.18,0.00
635,Jimbo57,107.57,107.57,96.94,78.82,0.00
636,CoderJava,107.40,108.60,98.90,81.10,1.20
637,ryanheynrich,107.40,111.20,97.86,78.71,3.80
638,lunatic00,107.40,109.80,97.67,71.77,2.40
639,Delik,107.40,111.60,97.33,82.35,4.20
640,Ovcacek,107.40,107.40,97.30,69.83,0.00
641,Kevin2002,107.40,110.20,96.43,77.67,2.80
642,abhinendrasig,107.39,109.59,98.73,82.28,2.20
643,iristea,107.39,107.39,96.24,75.15,0.00
644,PrAsHaNtYpIsT,107.39,129.99,89.58,79.74,22.60
645,Epsilong,107.20,109.40,97.65,78.22,2.20
646,Yangs,107.20,107.20,96.26,74.70,0.00
647,ishmah,107.20,107.20,94.96,69.03,0.00
648,sentryy,107.19,107.19,96.98,72.14,0.00
649,UnlimitedDucks,107.00,107.80,96.25,72.50,0.80
650,trivoMTF,107.00,115.20,93.47,69.50,8.20
651,kushal_sen,106.99,107.99,96.97,78.80,1.00
652,rubiq,106.80,106.80,98.35,82.00,0.00
653,Karthik176,106.80,108.60,94.93,68.74,1.80
654,_Amako_,106.60,106.60,97.99,73.79,0.00
655,HelloItsO,106.60,110.00,96.78,73.60,3.40
656,sir_sky,106.60,121.80,92.97,76.07,15.20
657,Shan_,106.60,124.80,91.72,81.01,18.20
658,fallingsky,106.59,110.59,96.30,72.11,4.00
659,Ap567,106.59,110.39,95.14,74.61,3.80
660,Martin_Arauz,106.59,117.59,94.15,70.98,11.00
661,Grazbrelroz,106.40,110.40,98.37,83.54,4.00
662,leyleyy,106.40,107.20,98.17,74.39,0.80
663,makrela,106.40,106.40,96.61,74.70,0.00
664,Taz1072,106.20,107.20,98.34,79.10,1.00
665,Jamie._.,106.20,112.20,96.32,75.70,6.00
666,thalaApurb,106.19,108.19,99.08,85.02,2.00
667,Xpyrolis_,106.19,111.59,97.14,86.35,5.40
668,emscawas,106.00,108.20,97.27,80.26,2.20
669,slappytown,106.00,106.00,97.25,76.62,0.00
670,RRhhyy,106.00,118.00,93.02,69.88,12.00
671,ney_,106.00,121.00,91.59,72.58,15.00
672,dyno143,105.98,111.17,95.38,75.77,5.19
673,buttsb,105.98,107.58,95.02,70.46,1.60
674,sIDD_24,105.98,114.58,91.40,69.96,8.60
675,ZeroC00,105.60,142.20,82.55,78.12,36.60
676,omenlord,105.75,108.55,97.46,71.85,2.80
677,sw43,105.60,108.40,99.08,86.15,2.80
678,tukang_ketik,105.59,108.59,97.29,77.15,3.00
679,C0D3LX1,105.59,116.19,92.62,78.42,10.60
680,Enzyme02,105.59,117.39,90.13,74.30,11.80
681,znzn,105.40,106.40,98.14,81.88,1.00
682,arafat2006,105.40,120.80,94.70,79.73,15.40
683,muhammed11,105.39,111.99,95.12,77.07,6.60
684,jayden12355,105.39,111.59,94.91,73.55,6.20
685,User_Mint,105.39,123.19,89.46,76.56,17.80
686,noel_30_tom,105.38,106.78,94.45,66.31,1.40
687,nicxs_assassin,105.37,105.37,97.07,75.21,0.00
688,Akali,105.20,108.20,97.62,82.78,3.00
689,moregigglebytes,105.18,105.78,97.07,76.12,0.60
690,n00bi3pl4y,105.00,105.00,98.14,75.57,0.00
691,Enzoss100,105.00,105.00,96.00,71.13,0.00
692,Ourbrs,104.80,108.60,97.25,76.80,3.80
693,Nemoj,104.79,104.79,100.00,84.80,0.00
694,Zhouscar,104.79,104.79,99.24,79.04,0.00
695,appjeniksaan,104.79,113.19,94.36,80.74,8.40
696,jambajabuc,104.79,123.79,90.26,78.83,19.00
697,biran,104.60,104.60,99.24,76.85,0.00
698,KeroppiLover,104.59,116.98,92.99,72.30,12.39
699,Zwellop,104.59,117.79,91.25,70.32,13.20
700,kuroko3,104.58,106.98,99.07,83.33,2.40
701,nolantopo,104.40,106.60,99.06,85.75,2.20
702,alexheiser,104.40,105.60,97.96,72.09,1.20
703,poushipoushi,104.40,104.40,97.95,79.07,0.00
704,anthzs,104.40,113.00,92.92,76.77,8.60
705,ShubhamPathak,104.40,114.20,91.73,75.20,9.80
706,tryhardsweat,104.39,105.59,99.43,86.75,1.20
707,Driza,104.39,104.39,95.00,74.07,0.00
708,ShanChar86,104.39,113.19,94.67,72.97,8.80
709,Jony654,104.20,104.20,98.49,74.35,0.00
710,qwerty-outdated,104.20,104.20,97.79,71.56,0.00
711,ksa123,104.20,108.40,96.56,78.92,4.20
712,sahil070,104.19,108.18,97.44,77.07,3.99
713,creme69,104.17,104.17,98.87,79.60,0.00
714,chaudhrymahad972,104.17,109.17,96.36,77.44,5.00
715,IsaacTheKind,104.00,105.20,99.05,79.66,1.20
716,bhupensaini,104.00,118.60,92.63,81.25,14.60
717,coproduto,103.99,106.99,98.34,79.00,3.00
718,squishy_cat,103.99,107.39,97.97,82.52,3.40
719,kingofzombot,103.98,110.78,95.24,72.45,6.80
720,nlzce,103.97,124.77,89.75,80.05,20.80
721,warfield,103.80,103.80,100.00,83.01,0.00
722,stjhimy,103.80,105.60,97.94,80.22,1.80
723,Weird_Akshat,103.80,103.80,96.36,72.87,0.00
724,darkpres,103.80,103.80,96.31,70.72,0.00
725,serene19,103.80,104.40,94.14,64.94,0.60
726,shubhamrawat,103.79,105.39,97.57,79.80,1.60
727,matrix007,103.78,103.78,96.01,65.49,0.00
728,Anais999,103.78,103.78,95.95,70.53,0.00
729,blackpearl0,103.60,104.40,99.05,80.18,0.80
730,omnster,103.59,103.59,98.86,79.70,0.00
731,annieinmonkeyy,103.59,105.79,97.39,79.36,2.20
732,andybenard69,103.59,116.79,96.06,80.98,13.20
733,typistakash,103.40,106.00,96.53,75.24,2.60
734,lilfat3,103.40,121.40,89.19,70.63,18.00
735,Faiz,103.39,104.39,96.15,75.20,1.00
736,approximatelyeq,103.20,103.20,98.67,75.68,0.00
737,iMSung,103.20,103.20,97.54,76.44,0.00
738,Waguri_Kaoruko,103.20,115.40,93.19,75.17,12.20
739,noahlr,103.20,118.20,89.81,64.57,15.00
740,user9238428,103.14,111.34,96.24,80.54,8.20
741,3gt4f65r,103.00,103.00,99.23,76.80,0.00
742,samanthOG,102.99,106.39,97.57,83.29,3.40
743,gradiant,102.99,102.99,93.16,71.95,0.00
744,Moses33,102.80,102.80,99.61,80.29,0.00
745,jamesph82,102.80,102.80,97.74,73.52,0.00
746,ApolloApollo,102.80,102.80,97.72,73.96,0.00
747,kpCoder,102.80,106.60,96.18,81.40,3.80
748,Natigaso,102.80,107.00,95.83,75.61,4.20
749,shamones,102.80,110.40,92.27,70.52,7.60
750,sktypez,102.80,118.20,91.12,76.69,15.40
751,Ruka_No09,102.79,104.59,98.68,75.26,1.80
752,TheAlder,102.79,103.99,96.81,76.29,1.20
753,B1gShirt,102.79,102.79,95.95,71.37,0.00
754,Hakuryu,102.78,107.58,95.49,67.19,4.80
755,edwinnn,102.60,103.80,94.44,73.35,1.20
756,Sauce177013,102.60,112.60,92.33,77.55,10.00
757,asranand7,102.59,115.19,93.29,80.63,12.60
758,mayushiiDesu,102.58,102.58,98.47,78.90,0.00
759,Mimistorm,102.58,103.78,97.55,75.43,1.20
760,SN1221,102.40,102.40,98.09,74.68,0.00
761,Nubby_,102.39,104.39,98.12,76.40,2.00
762,Attraxion,102.39,103.19,95.35,74.25,0.80
763,fru2,102.39,117.78,91.44,81.82,15.39
764,Chadmer,102.39,116.59,91.43,77.73,14.20
765,skibidi_urinal,102.38,103.98,92.55,64.89,1.60
766,SirBank,102.20,103.80,98.66,83.23,1.60
767,Unic0rns101,102.20,104.60,98.30,80.67,2.40
768,penelopeed,102.20,104.40,95.40,71.68,2.20
769,TrustSSC,102.20,110.80,95.37,74.97,8.60
770,PryingSemtex,102.20,108.60,94.94,78.47,6.40
771,hokha,102.19,124.99,89.18,75.78,22.80
772,developersusan,102.18,109.78,94.11,76.07,7.60
773,JoeverCBY,102.17,102.17,95.73,73.15,0.00
774,Granola5602,102.00,102.00,97.34,76.31,0.00
775,ezskwonky,102.00,102.00,96.79,67.43,0.00
776,Sinclair_,102.00,103.60,96.34,67.99,1.60
777,willyum1,102.00,102.00,96.23,76.51,0.00
778,Basil18,102.00,110.00,91.46,64.08,8.00
779,nguyenbuivn,101.99,110.19,96.04,76.45,8.20
780,tionscnoir,101.98,102.98,98.09,81.67,1.00
781,del_optimist,101.80,101.80,98.47,74.45,0.00
782,ethanwongse,101.80,107.60,95.63,74.93,5.80
783,amazingD,101.79,101.79,96.63,74.90,0.00
784,Mohhy,101.79,106.79,94.23,71.22,5.00
785,Szephalmi,101.79,106.39,92.03,64.59,4.60
786,Ja3oli,101.79,114.99,90.10,71.27,13.20
787,fehmerCollaborator,101.78,101.78,98.66,79.03,0.00
788,Inf_prf,101.77,108.57,93.47,74.27,6.80
789,SarthakSidhant,101.76,111.76,94.38,79.95,10.00
790,vutb,101.76,115.36,93.28,80.13,13.60
791,jpjacobpadilla,101.60,101.60,97.33,71.05,0.00
792,Aketchy,101.60,110.20,92.86,71.67,8.60
793,ricfinity242,101.58,107.18,97.40,78.54,5.60
794,Zero6i,101.40,101.40,98.83,81.21,0.00
795,superadmin,101.40,101.40,98.10,78.56,0.00
796,Ngkhanh,101.40,101.40,97.52,76.06,0.00
797,erdiezici_,101.40,103.60,95.90,76.17,2.20
798,VelmaDilemma,101.38,106.18,95.55,75.74,4.80
799,sharpjimbo,101.38,112.97,92.83,75.82,11.59
800,bitttter,101.20,101.20,94.95,74.73,0.00
801,keebul0y,101.20,115.80,88.96,74.74,14.60
802,AnnyPanny,101.19,106.79,96.85,70.12,5.60
803,phantom16,101.19,101.19,96.78,71.87,0.00
804,ABTech19,101.19,108.19,96.49,81.37,7.00
805,Whispy,101.18,103.98,98.08,80.96,2.80
806,annedee,101.00,101.00,99.80,80.59,0.00
807,sajaltypes,101.00,103.80,98.29,81.68,2.80
808,VenturingSloth,101.00,104.20,95.92,74.50,3.20
809,lyt3ral,101.00,105.20,95.37,79.31,4.20
810,stephenwhite86,100.97,103.57,97.33,76.61,2.60
811,sahajpatel008,100.97,100.97,96.57,74.31,0.00
812,canopus,100.80,106.40,96.62,81.95,5.60
813,rvess,100.80,103.20,96.42,74.84,2.40
814,JanSui,100.80,107.60,94.29,69.59,6.80
815,Pratham.1,100.79,100.79,97.68,74.19,0.00
816,IMFATNEEK,100.78,113.58,94.06,81.39,12.80
817,willdaniel,100.60,102.20,99.02,80.57,1.60
818,ILikeCuteCats,100.60,100.60,98.43,74.96,0.00
819,raptron,100.60,101.20,98.08,75.08,0.60
820,nayru,100.60,100.60,97.32,71.28,0.00
821,tofutofu,100.60,103.00,96.97,78.86,2.40
822,Leeyowww,100.59,100.59,98.82,74.00,0.00
823,anishbishnoi,100.59,108.99,95.80,75.32,8.40
824,lxuminous,100.58,100.58,96.39,70.75,0.00
825,titondk,100.58,108.18,94.81,73.89,7.60
826,DatTestBench,100.40,101.60,99.02,81.34,1.20
827,lumtwj,100.40,104.40,97.35,81.12,4.00
828,K4na,100.40,101.80,96.93,80.51,1.40
829,subzerob,100.40,110.20,96.37,83.31,9.80
830,iamnotsid,100.40,109.00,94.88,77.96,8.60
831,mumuu,100.40,110.00,91.11,74.58,9.60
832,Secrecy_,100.38,100.38,95.45,67.74,0.00
833,Viiglant,100.37,105.97,94.17,70.83,5.60
834,velgarath,100.20,102.60,98.83,79.36,2.40
835,tudorancea,100.20,100.20,94.78,72.90,0.00
836,ntzanos,100.20,110.60,94.22,87.13,10.40
837,undergrowth,100.20,104.20,93.14,68.22,4.00
838,karik,100.20,109.00,91.71,67.14,8.80
839,henryallenccs,100.19,108.79,94.27,72.99,8.60
840,Enich,99.99,99.99,99.21,74.08,0.00
841,safal726,99.98,111.18,93.88,80.71,11.20
842,misalpaav,99.80,103.80,97.12,78.10,4.00
843,clancyisfast,99.80,102.60,94.98,75.32,2.80
844,Rockabye2323,99.80,105.00,94.39,69.70,5.20
845,arnav999,99.80,109.60,93.91,77.25,9.80
846,Liangyiu,99.80,114.39,91.71,72.46,14.59
847,SameerJS,99.78,99.78,98.24,75.47,0.00
848,Sleepyyyyy,99.60,113.80,91.85,77.05,14.20
849,numpad,99.58,101.17,98.43,82.99,1.59
850,MattZaddy,99.53,123.32,88.85,69.19,23.79
851,TakeOnMeee,99.40,100.20,98.62,79.65,0.80
852,foxtrot007,99.40,101.20,98.23,80.45,1.80
853,zRainn,99.40,100.00,95.08,74.69,0.60
854,jimbosam,99.39,103.19,96.57,79.81,3.80
855,redcarsen,99.38,106.38,95.54,80.58,7.00
856,rhino789,99.37,99.37,96.32,79.89,0.00
857,jincc84,99.20,99.20,99.80,82.91,0.00
858,harleytyping22,99.20,100.80,96.78,71.87,1.60
859,rayanhussain,99.20,103.80,95.67,70.62,4.60
860,Stars_Winner,99.20,99.20,93.32,69.08,0.00
861,mohako_1,99.19,106.39,96.47,80.67,7.20
862,blingbang,99.18,102.58,95.61,77.89,3.40
863,Harsha20,99.18,103.38,94.43,67.52,4.20
864,haox,99.00,102.60,96.18,79.58,3.60
865,tashmim,99.00,100.40,95.20,60.06,1.40
866,kbrandon343,99.00,111.00,90.09,73.86,12.00
867,WinterNox,98.99,98.99,98.41,80.15,0.00
868,fortunate_guy,98.98,98.98,97.25,79.87,0.00
869,dm711,98.98,98.98,94.17,69.99,0.00
870,parag_3,98.80,102.40,95.64,75.91,3.60
871,yffff,98.80,100.80,94.68,65.89,2.00
872,hellbit,98.80,108.00,90.49,70.53,9.20
873,rhn,98.79,100.39,97.69,69.65,1.60
874,lemieux86,98.78,100.18,99.40,82.70,1.40
875,zohaib_dev,98.60,98.60,99.00,82.36,0.00
876,CookieApupu,98.60,98.60,98.04,74.54,0.00
877,oldpepper,98.60,98.60,98.02,73.81,0.00
878,hashbanger,98.60,102.00,97.28,74.13,3.40
879,Shirjeel,98.60,98.60,97.06,70.67,0.00
880,Flying_Dino,98.60,101.40,95.58,76.48,2.80
881,AudileSaturn,98.60,101.20,95.27,72.10,2.60
882,Detrix,98.60,102.60,94.91,76.78,4.00
883,Abdou_Monir,98.59,100.39,96.71,76.34,1.80
884,dans11,98.59,105.39,95.69,80.25,6.80
885,xian07,98.59,108.19,94.87,80.07,9.60
886,NadAlabaContributor,98.59,111.59,92.42,71.12,13.00
887,scarfejs,98.58,98.58,98.80,81.21,0.00
888,Complete_,98.56,98.56,99.40,81.28,0.00
889,gloomyRabbit,98.40,101.00,98.23,81.90,2.60
890,hoatrinhdev,98.40,98.40,98.21,78.62,0.00
891,Chufolon,98.40,98.40,98.01,82.14,0.00
892,t0n9,98.40,114.20,92.23,78.61,15.80
893,fabricez,98.39,103.79,96.74,74.88,5.40
894,OmerProtyper,98.39,98.39,96.66,69.76,0.00
895,MuMuMuMuMuMU,98.39,120.99,86.49,66.21,22.60
896,guzulu_deva,98.20,98.20,98.41,73.68,0.00
897,aloko,98.20,101.60,97.65,81.01,3.40
898,Patir,98.20,98.20,97.04,74.04,0.00
899,Harsh8,98.20,103.40,96.95,78.19,5.20
900,zamo,98.20,98.20,96.48,79.95,0.00
901,kzrth,98.19,98.79,98.01,75.16,0.60
902,E455e,98.19,98.19,94.19,66.82,0.00
903,skullduggery7,98.19,106.99,93.62,72.08,8.80
904,Mikaelo19,98.18,98.78,97.25,76.87,0.60
905,angelneeds2type,98.00,109.19,93.86,77.68,11.19
906,AidanThong,98.00,98.00,92.88,66.93,0.00
907,Go_Go33,97.99,97.99,97.42,75.74,0.00
908,AJkei,97.99,105.39,95.47,79.52,7.40
909,alexop,97.98,102.58,96.56,74.75,4.60
910,idotheweeuweeu,97.80,106.20,93.09,77.10,8.40
911,mecskyverse,97.79,102.19,97.28,79.46,4.40
912,martyPickles,97.78,105.78,95.19,77.87,8.00
913,gsharew,97.78,110.37,94.21,76.39,12.59
914,Arindam1111,97.60,97.60,97.04,74.13,0.00
915,lynisaur,97.60,101.40,96.66,81.43,3.80
916,hariua,97.60,106.20,96.61,80.56,8.60
917,eight_six,97.60,106.60,91.14,72.26,9.00
918,speed999,97.59,97.59,98.01,73.50,0.00
919,alicenrsander,97.59,98.39,96.12,73.16,0.80
920,BrainOverflow,97.59,99.99,96.09,79.21,2.40
921,sunsetsonwheels,97.59,105.59,94.79,76.17,8.00
922,jerrrrrmmmmyyy,97.59,107.99,94.13,79.97,10.40
923,ShinStrike,97.40,97.40,98.39,77.82,0.00
924,ReindeerBoard,97.40,105.80,94.40,80.52,8.40
925,miguelbejarano,97.40,118.60,90.73,77.83,21.20
926,emmahearne,97.39,97.39,98.20,75.80,0.00
927,kminkov,97.38,97.58,97.40,75.05,0.20
928,cipher-sg,97.38,106.78,96.07,78.22,9.40
929,KingLukky,97.20,100.00,96.09,75.75,2.80
930,zeynepA,97.20,117.40,90.00,83.07,20.20
931,MeuBeu,97.19,105.79,95.09,86.03,8.60
932,Apoorv,97.18,98.98,98.61,75.32,1.80
933,Cramzzzberry,97.18,97.18,97.99,75.58,0.00
934,nxe,97.18,102.58,93.75,73.53,5.40
935,Bashead,97.00,98.40,98.58,81.94,1.40
936,Akihito,97.00,97.00,96.44,75.95,0.00
937,charon19d,97.00,98.00,96.27,68.91,1.00
938,AndrejOnJah,97.00,109.20,94.93,80.68,12.20
939,komar007,96.99,96.99,97.79,75.35,0.00
940,MonkeBanana69,96.99,99.59,95.92,72.74,2.60
941,moomburger1,96.98,96.98,96.43,74.08,0.00
942,dragomayply,96.80,100.00,93.73,70.52,3.20
943,inwardrtmp,96.79,103.59,91.70,73.52,6.80
944,hazemakiel,96.78,96.78,95.15,72.90,0.00
945,SimplyTerror,96.78,96.78,94.57,74.77,0.00
946,nimw,96.60,99.00,98.38,85.38,2.40
947,A7Lavinraj,96.60,96.60,97.97,75.05,0.00
948,sainarendra74,96.59,105.19,93.52,76.34,8.60
949,HoodSwami,96.59,111.39,89.55,74.51,14.80
950,lanadelrey,96.40,96.40,98.77,78.53,0.00
951,DuncanMcTung,96.40,96.40,98.77,86.63,0.00
952,Plzd0nt,96.40,96.40,98.77,79.86,0.00
953,fzzrxx,96.40,100.40,97.62,78.06,4.00
954,jeongoddang,96.39,96.39,95.66,75.52,0.00
955,mxvlshn,96.38,97.98,99.59,80.36,1.60
956,Zoni,96.38,100.58,93.61,69.99,4.20
957,cuzon,96.37,111.76,90.83,77.18,15.39
958,allef,96.20,97.00,97.20,76.95,0.80
959,nexta,96.20,100.00,96.18,72.37,3.80
960,Diptaps,96.20,96.20,95.28,69.38,0.00
961,sunsetclouds.,96.20,101.40,93.10,67.57,5.20
962,FemtoFarad,96.19,100.79,97.05,80.06,4.60
963,duckien23461,96.19,96.19,94.36,77.21,0.00
964,bhaskar2007,96.00,99.60,96.08,71.87,3.60
965,memorymemento,95.98,96.98,97.19,73.40,1.00
966,meraj159,95.98,95.98,97.02,75.26,0.00
967,shlmv,95.98,95.98,97.00,74.77,0.00
968,DatBoiIan,95.80,95.80,95.85,67.72,0.00
969,almasretes33,95.79,98.39,97.19,78.66,2.60
970,PRIYANSHU__,95.79,103.99,94.04,81.80,8.20
971,Nandan_njr,95.77,98.17,96.27,75.14,2.40
972,xicky,95.60,97.60,96.81,77.64,2.00
973,monk343,95.60,95.60,96.79,72.59,0.00
974,ManishCh,95.59,98.39,96.25,71.06,2.80
975,raizaa_,95.59,95.59,95.81,75.57,0.00
976,vakraku,95.59,99.39,93.50,75.48,3.80
977,Gajendra14,95.59,106.98,92.91,80.31,11.39
978,taonaahumba,95.58,102.38,96.29,84.80,6.80
979,wahid6969,95.58,102.98,92.74,58.25,7.40
