rank,name,wpm,raw,accuracy,consistency,diff
113,glickenspiel,140.17,150.77,95.65,87.19,10.60
114,thespoopyman,140.00,140.80,97.78,77.81,0.80
115,MoistRice,139.80,139.80,97.91,77.79,0.00
116,SlipStream,139.80,145.80,95.65,81.36,6.00
117,jaslee643,139.79,169.59,91.16,85.82,29.80
118,gma.pk,139.40,148.60,96.66,83.95,9.20
119,Convieee,139.39,144.19,96.07,79.29,4.80
120,SianCaleb,139.38,139.38,97.92,78.82,0.00
121,DasianWhite,139.20,139.20,96.70,74.61,0.00
122,notMyqL,139.19,139.19,97.38,77.94,0.00
123,Zuhaz,138.98,144.98,96.08,77.18,6.00
124,terracount,138.96,160.75,90.67,87.72,21.79
125,Cheeseburger97,138.80,142.60,97.12,81.48,3.80
126,Crezeance,138.40,138.40,99.57,88.17,0.00
127,Rektless,138.40,143.40,97.65,79.76,5.00
128,exoticary,138.40,146.20,95.26,77.40,7.80
129,sebmar496,138.40,153.60,94.95,82.14,15.20
130,yjef,138.36,138.36,99.28,85.42,0.00
131,synrgy_alt,138.20,138.20,95.37,75.08,0.00
132,ithril,138.19,157.79,92.79,86.33,19.60
133,LinkStart15,138.16,149.96,94.24,74.00,11.80
134,valera5505,137.79,138.99,98.29,79.80,1.20
135,vhariharaseshu,137.79,149.19,95.01,77.82,11.40
136,mohib696,137.78,141.98,96.74,76.03,4.20
137,Leonume,137.60,139.60,98.03,78.17,2.00
138,Ada_Virus,137.60,149.40,95.61,75.22,11.80
139,fgyhujkdhfg,137.59,140.19,98.16,78.54,2.60
140,Weinn,137.59,144.19,94.82,78.26,6.60
141,A_Man_Mag,137.58,137.58,96.80,81.53,0.00
142,EmwolbOG,137.00,137.00,100.00,82.83,0.00
143,shanitorian,136.98,144.18,96.83,80.29,7.20
144,abdulatif_p10,136.79,162.39,90.15,83.02,25.60
145,Amansinha,136.60,141.20,97.33,77.31,4.60
146,wisdommonke,136.60,142.80,96.54,83.59,6.20
147,4rivappaAll,136.60,149.00,95.17,86.26,12.40
148,KevaasaurusOG,136.60,146.40,95.13,78.60,9.80
149,relturtle,136.57,137.17,98.99,84.48,0.60
150,Husquin,136.20,137.80,99.14,80.39,1.60
151,ybdoe,136.20,136.20,99.13,82.87,0.00
