name,wpm,raw,accuracy,consistency,diff
paganini24,97.8,97.8,95.16,75.56,0
trys,111.4,112.6,98.25,75.59,1.2
fiodorfedosejev,93.8,93.8,97.3,75.63,0
Dakshet,76.99,81.39,94.56,75.65,4.4
33mcg,65.4,65.4,98.8,75.65,0
Rasheed951,75.4,75.4,96.42,75.66,0
joshuaw123,124.8,151.59,89.97,75.73,26.79
itsmyprinsure,64.19,64.19,96.4,75.73,0
chinmay57,77.8,80.2,96.14,75.77,2.4
CWU,127.6,129.2,98.17,75.81,1.6
drisul10,73.98,73.98,97.64,75.84,0
Poi_39,86.8,96,93.33,75.85,9.2
athaznorath,84.79,84.99,98.38,75.85,0.2
liamoops,64,64,100,75.88,0
Alliekrash,134.59,134.59,96.34,75.89,0
mumuu,95,102.2,94.83,75.95,7.2
SaladSauce,93,94.8,97.3,75.95,1.8
ZzziChun,80.4,89.8,89.85,75.98,9.4
Java53_rip7,90.99,90.99,98.49,75.98,0
ezraaillet,139.2,154.2,94.06,75.99,15
deportelonmusk,74.8,74.8,96,76.02,0
Panex,114.4,115.4,97.47,76.05,1
DerpIsGud,119,125.8,91.34,76.07,6.8
markkm,66.39,66.39,96.79,76.08,0
jmowed,61.8,61.8,93.92,76.11,0
jyomi,89.4,94.8,94.62,76.17,5.4
c4lendar,149.38,151.58,97.93,76.19,2.2
wallyworf,102,102.8,98.84,76.21,0.8
32GIGABYTES,113.59,119.19,95.11,76.22,5.6
ahzn,58.4,59.6,97.68,76.22,1.2
blackchoco,136.98,143.78,95.38,76.24,6.8
Subramani,67.38,76.58,93.54,76.25,9.2
BattleBoss,73.2,74.2,94.62,76.25,1
MAX0859,62.8,62.8,99.68,76.25,0
hacktheplanet,113,116.2,96.15,76.26,3.2
iamgamingvenom,62.8,73,93.97,76.31,10.2
Tw3x,70.8,70.8,96.99,76.31,0
Jannee,75.6,87.6,92.52,76.33,12
DavidNg,102.19,104.39,97.36,76.33,2.2
zyj,74,75,92.79,76.35,1
MrSRABrO,69.39,74.19,93.26,76.36,4.8
cyberpunk1,71.99,74.59,97.61,76.36,2.6
sorcerersupreme,83.2,83.2,99.52,76.42,0
CosmologicalOG Account,130.4,132,97.32,76.45,1.6
jerrrrrmmmmyyy,92.4,92.4,97.68,76.47,0
smdsohag,66.58,67.58,96.26,76.49,1
fallingsky,123.2,127.6,96.93,76.51,4.4
alexkuk,75.6,75.8,98.2,76.53,0.2
JohnKyle,61.8,61.8,100,76.53,0
NuclearDragon,114.79,118.19,97.49,76.54,3.4
Jimathy,110,132.19,90.57,76.55,22.19
Pingkoloi,83.6,83.6,96.32,76.56,0
Pofrz,87.4,87.4,92.68,76.63,0
LegendzSuckz,105.79,111.19,94.98,76.64,5.4
solidbrain,117.78,117.78,98,76.69,0
jaslee643,147.6,158.2,96.12,76.75,10.6
MSam625,78.8,92.8,93.53,76.76,14
dwensi,94.57,94.57,96.33,76.76,0
ayush1199,63.59,92.39,85.44,76.77,28.8
lssl,89.2,89.2,97.4,76.78,0
cooljonc,116.37,124.97,95.09,76.85,8.6
ask1810,90.79,98.79,94.41,76.88,8
thesoftaryan,95,95,96.95,76.88,0
ersabin,90.99,90.99,97.03,76.88,0
ApuRv_2611,113.18,114.98,96.63,76.92,1.8
rubymetro,103.39,108.79,94.95,76.93,5.4
Omlet221,93.19,95.19,97.12,76.94,2
MoistRice,138.78,142.78,96.59,77.04,4
Fasttyping34,125.6,129,97.99,77.08,3.4
maximus659,127.2,127.2,98.17,77.11,0
oSmartCoder,139.19,155.99,94.04,77.18,16.8
CosmicExplorer,96.99,124.78,87.72,77.19,27.79
kovbasa,72.4,72.4,98.1,77.23,0
_braindead_,70.2,72.6,95.76,77.29,2.4
memorymemento,96.8,97.8,96.63,77.29,1
addy_118,95.6,95.6,96.38,77.3,0
vexedNeurons,86.2,86.2,100,77.34,0
eajack,73,75.2,96.36,77.36,2.2
fleaforall,109.19,109.19,97.34,77.42,0
A.hany,106.39,108.78,98.72,77.43,2.39
Nirabhra,131.8,134.2,96.68,77.45,2.4
TJ_Barbwire,150.79,161.19,93.9,77.46,10.4
Yure1,154,156.6,98.49,77.47,2.6
MaxNameIs16Char,82.8,86.8,97.7,77.51,4
EmoryQ,102.2,102.2,96.6,77.53,0
abhishek_jc,75.39,75.39,98.95,77.58,0
brennanj,106.99,111.39,96.64,77.62,4.4
Shadowll,70.8,70.8,95.93,77.62,0
womsajib,101.6,112.4,95.41,77.68,10.8
cardoza.,63.39,64.59,97.28,77.68,1.2
Yure1,158.2,159.8,98.02,77.76,1.6
MarcoPolololo,112.8,112.8,96.44,77.78,0
spooky__,90.79,90.79,97.85,77.78,0
frigidove,96.59,101.19,97.25,77.83,4.6
rajaZahid,78.38,80.58,98.27,77.83,2.2
registered_typer,92.6,92.6,99.36,77.86,0
lsk987,81.8,81.8,98.55,77.87,0
Clanna,81.6,89.2,92.62,77.9,7.6
amogha_maiya,63.79,86.79,85.48,77.94,23
lans_px,133.38,142.58,95.32,77.95,9.2
RevyRevy,81,81.8,98.55,77.95,0.8
Ep1cHaCk3r,114.59,117.79,97.81,77.97,3.2
PRIYANSHU__,58.39,63.39,94.74,78,5
imerfan,69.79,71.19,95.42,78.01,1.4
Kizotic,119.6,119.6,99.5,78.01,0
stevent12x,73,77.6,96.16,78.03,4.6
Bacchiato,121.2,123.8,97.3,78.04,2.6
vinvango,125,128.8,95.93,78.05,3.8
Chistopoo,92.2,110,90.41,78.07,17.8
Mag2512,88.39,94.79,94.27,78.07,6.4
Delving.TJ,74,74,96.1,78.09,0
HonkyTonkRobot,93,102.4,93.86,78.1,9.4
badznovski,97.4,97.4,98.04,78.11,0
Silentkey,87.59,91.79,95.95,78.15,4.2
shadow.69,81.6,85.6,96.75,78.21,4
oulongwenOG Account,125.98,125.98,99.21,78.23,0
D3kab,78.6,86.8,94.04,78.26,8.2
sunsetsonwheels,110,111.8,97.36,78.26,1.8
MrC.GR,58.19,58.19,98.64,78.26,0
tharmik,91.4,99.8,93.48,78.31,8.4
mxvlshn,90.2,91,99.56,78.43,0.8
xicky,88.2,94,94.19,78.44,5.8
shaibixds,123.99,123.99,99.2,78.44,0
nickg1980,90.8,95.2,97.29,78.47,4.4
QuipidScar,111.79,118.59,95.99,78.48,6.8
mrpal5a,71.8,80,94,78.49,8.2
Krain_,160.4,181.6,92.94,78.58,21.2
nyuwu,77.19,77.19,97.24,78.59,0
znzn,104.6,106.2,99.06,78.61,1.6
ferrousite,95,96,96.18,78.73,1
AR_the_GREAT,63.39,76.39,90.05,78.74,13
haiz,106.79,111.39,96.49,78.78,4.6
akash_07a,66.4,71,96.9,78.78,4.6
sw43,100.79,102.19,98.83,78.8,1.4
AlphaKappa,113.59,114.79,97.46,78.8,1.2
bat-man,67.39,67.39,97.69,78.8,0
erwintalento,105.4,105.4,99.43,78.8,0
Demin2,132.79,132.79,97.65,78.81,0
Avocado_Eggroll_,84.79,86.59,95.56,78.85,1.8
thalaApurb,79.99,83.59,98.09,78.88,3.6
EdriannePrado109,67.2,68.6,98.28,78.93,1.4
tyama,91.78,92.98,94.95,78.93,1.2
blitz_type,81.4,96.2,91.06,78.94,14.8
Vieeeeeee,61.8,61.8,98.74,78.95,0
Garima007,64.58,69.38,95.97,79.04,4.8
reanimated,95,97,96.61,79.05,2
Blanksmth,163.58,207.38,86.5,79.06,43.8
0KK,97.2,109,92.69,79.08,11.8
someUsername,126.77,131.56,97.14,79.08,4.79
gabagooool,90.99,90.99,98.7,79.08,0
panoplied,96.2,96.4,98.16,79.13,0.2
eonek,106.4,106.4,98.89,79.13,0
theinputmode,132.6,132.6,98.51,79.15,0
SuperEpic,107.19,108.19,99.45,79.29,1
noonicknames,98.98,98.98,97.83,79.31,0
szulerrr,119.59,119.59,98.37,79.31,0
Little111,92.4,92.4,97.47,79.37,0
ChrisCamp,99.39,105.59,96.78,79.38,6.2
Asadxon,78.78,79.78,94.76,79.46,1
sonicbedict,114.4,115.2,99.31,79.46,0.8
ian_k_john,82,82,97.62,79.46,0
draxure,108.8,110,97.51,79.47,1.2
comoyun,109,110,97.51,79.47,1
NaughtyCatBoy,102,105.6,97.73,79.55,3.6
Red1860,91.8,99.4,96.39,79.57,7.6
Nickredblue,76.51,76.51,97.22,79.57,0
type__monkey,143.79,145.99,97.83,79.59,2.2
KedrickPedroza,82.4,86.8,96.55,79.6,4.4
AnshulThakur123A,87.6,93.2,95.15,79.63,5.6
Nacticr,134,140.2,95.3,79.65,6.2
ninjatutuy21,121.99,126.79,96.57,79.65,4.8
Zeko,128.4,128.4,99.23,79.69,0
tylor,131.39,153.39,90.85,79.7,22
3bduo,116.6,125.6,95.73,79.71,9
ItzToxic,139.6,148,95.99,79.71,8.4
top2828,109.99,111.19,97.54,79.73,1.2
BcCakeman,115.98,117.58,97.81,79.74,1.6
Narsingh9,82.4,92.6,92.9,79.79,10.2
marcospe,109.2,110.2,97.34,79.8,1
Typdat,111,111,98.4,79.8,0
Ynwrd,99.2,102.6,97.68,79.83,3.4
tomul_tsot,135.59,147.99,94.51,79.87,12.4
rilee_h443,167,169.4,98.83,79.87,2.4
Amitesh97,122.4,124.8,98.56,79.87,2.4
Bittu26,105.79,116.39,94.52,79.9,10.6
Karjack,103.59,108.19,96.17,79.96,4.6
Dawwwwyyl,91,92,98.92,79.98,1
Cfarlue,90.2,97.2,95.91,79.99,7
42Willow,111.77,112.57,97.91,80,0.8
Sarwar_ElecTr1fy,125.8,130.2,97.42,80.02,4.4
parag_3,98.99,106.99,95.55,80.04,8
c_c_inc,86,96,91.18,80.06,10
yash6291036,112.99,119.79,96.35,80.06,6.8
Rixdus,114,120.2,96.05,80.06,6.2
KingLukky,94.79,101.99,94.94,80.08,7.2
EmwolbOG Account,130.8,130.8,98.95,80.08,0
Gratalat,111,111,99.11,80.1,0
oldman011,80.2,100.4,88.69,80.17,20.2
BRadish,115.6,129.4,92.38,80.25,13.8
shpoopdy,99.59,106.39,95.88,80.25,6.8
NARAYAN_SINGH,123.37,139.77,93.04,80.26,16.4
hunterfromont,90.4,110.2,88.57,80.27,19.8
Meiling,130.6,130.6,98.94,80.28,0
Baralul,123.6,125.6,96.91,80.3,2
SkySimBestServer,122.79,130.19,96.19,80.32,7.4
ghimiray,93.8,107,92.52,80.33,13.2
LesterMa,71.39,71.39,99.72,80.42,0
Fastblade9,60.39,77.78,87.95,80.44,17.39
Cilius,100.2,103,98.84,80.45,2.8
morpheus07,113.79,117.79,97.8,80.46,4
xen0v7,124.4,125.59,98.74,80.46,1.19
__Rohit__,114.79,120.59,96.73,80.48,5.8
marudamaru,88.19,101.59,93.73,80.49,13.4
doodle2552,123.38,123.38,98.56,80.49,0
Kingbeastj,136.59,149.79,94.2,80.51,13.2
JoggieJr,111.8,111.8,99.29,80.53,0
Harsh8,99.38,101.58,96.56,80.57,2.2
emscawas,98.59,99.99,97.84,80.57,1.4
GPWAp1,151.6,159.2,96.02,80.58,7.6
komarex07,85.6,85.6,99.77,80.75,0
cyan17All Year Long,133.93,136.13,98.83,80.77,2.2
ricfinity242,102.19,109.39,95.65,80.78,7.2
hoatrinhdev,96.4,96.4,97.39,80.79,0
A1_1,92.8,95.8,97.73,80.8,3
KingTiggyWiggy,100,100,100,80.82,0
filipr1,128.59,129.79,98.78,80.9,1.2
yokew,144.8,158.4,94.62,80.93,13.6
beyondMeaning,143.8,151.4,96.34,81.01,7.6
gloomyRabbit,91.8,98.6,96.36,81.01,6.8
seirakitsune,125.78,125.78,98.9,81.04,0
Zevikan,76.2,76.2,97.69,81.05,0
RoyalDolphin,123.39,128.39,97.22,81.06,5
applenvy,113.38,117.58,97.64,81.06,4.2
PiXe1,105.2,108.2,97.62,81.1,3
shenuka,79.4,81,98.77,81.24,1.6
MrCynric,137.4,141,97.46,81.25,3.6
aryan111111,92.4,93.2,98.09,81.37,0.8
khanele,120.99,126.59,96.55,81.39,5.6
rosyyia,85.99,86.99,99.08,81.39,1
teemo69,100,100.2,98.43,81.39,0.2
rusdoomer,138.77,146.37,96.25,81.4,7.6
XPT5OO1,64.2,64.2,99.38,81.4,0
Utkarsh-KT,73,80.2,93.38,81.44,7.2
jaa1,129,136,97.23,81.44,7
Hollya__,123.2,123.2,97.8,81.48,0
Trickmon324,160.79,173.59,94.76,81.58,12.8
pranjalkanel,115.59,115.59,99.48,81.58,0
BarryCode,133.6,134.4,98.82,81.59,0.8
adacchi,122,129.4,97.37,81.6,7.4
faster12,156.79,183.38,92.3,81.71,26.59
jaslee643,140.4,159.2,92.52,81.73,18.8
2scoopsofcream,79.38,93.18,91.42,81.74,13.8
amiratulaniqah,93.78,95.18,98.95,81.81,1.4
thats_not_you,78.59,78.59,99.24,81.82,0
xen0v7,128.19,140.79,94.32,81.86,12.6
rakib.cs,74,86.6,93.12,81.91,12.6
Zunlios,92.99,98.39,95.77,81.94,5.4
Vtc766,139.2,157.4,92.56,82.1,18.2
Kenirio,101.4,113.4,94.2,82.1,12
ChetdeJong,95.39,98.19,97.01,82.13,2.8
mustang51,108.2,109.2,96.96,82.21,1
jamesph82,111,111,99.11,82.21,0
squidmont11,153.79,156.39,98.73,82.22,2.6
malvqi,79.59,90.99,92.66,82.28,11.4
GamerVsGenius,139.4,157.6,93.05,82.29,18.2
unnameduser97356All Year Long,111.39,121.99,95.08,82.3,10.6
ianleong,126,139.8,93.76,82.31,13.8
Fatih_U,144.59,157.99,94.84,82.42,13.4
Selmie,133.18,138.98,97.15,82.42,5.8
JoeGoham,110.79,110.79,98.93,82.43,0
Zoly,122.98,128.18,97.36,82.45,5.2
seanho,122.6,132.8,95.33,82.47,10.2
komarex07,86.39,86.39,100,82.47,0
Astromechanic,115.19,127.39,93.28,82.49,12.2
Arcoxia,90,92.6,98.06,82.51,2.6
urbanite01,90.4,96.6,95.89,82.56,6.2
pmanthocks,124.2,124.2,98.1,82.6,0
HizkiaSitumeang,107.59,117.19,93.74,82.63,9.6
ephor,89.8,92,98.26,82.72,2.2
Dda6,126,139,95.11,82.86,13
ffffffghffffffff,131.39,139.99,96.75,82.88,8.6
reyplayz,119.4,122.2,98.22,82.88,2.8
developerjake,139.78,154.38,94.99,82.93,14.6
tanishthebest,127.99,135.19,97.05,82.95,7.2
bvnnie,126.59,126.59,98.91,82.95,0
BlueSea,154.6,160.4,98.01,83.03,5.8
OnoMichi,115.4,115.4,99.48,83.04,0
kjtype,136,136,98.98,83.06,0
programmingpower,118.58,118.58,99,83.09,0
Insomnicc,141.18,142.38,98.61,83.14,1.2
TouchKing,87.18,87.18,99.32,83.17,0
33kc,134.39,167.98,88.02,83.19,33.59
Pradhan,101.8,103,99.03,83.21,1.2
YesOk,150,152.6,98.95,83.29,2.6
cookiemaster,141.8,149.2,96.69,83.31,7.4
Sushil-jaishi,68.6,68.6,100,83.38,0
Sapient,181.59,188.39,98.09,83.43,6.8
Pranav2806,74.8,80.6,97.02,83.45,5.8
Nexxeron,169.79,173.99,98.4,83.45,4.2
cybraid,174.59,181.19,96.52,83.47,6.6
Clex,135.4,158.4,90.95,83.49,23
managerhwang,166.59,188.79,92.54,83.51,22.2
BipedPotato,144,146.6,98.64,83.51,2.6
BrickL0,126.8,139.2,93,83.61,12.4
xuanzang44,154.4,164.6,95.42,83.61,10.2
Rockodile,126.2,132.2,96.56,83.73,6
Plzd0nt,92.59,93.99,98.52,83.77,1.4
Kevin2002,109.19,111.39,98.75,83.78,2.2
whitebeard1035,91.19,98.59,95.74,83.81,7.4
katsts,120.4,134,94.79,83.96,13.6
Nalyd_VSAll Year Long,170.58,185.78,95.32,83.98,15.2
kaiawoolfe,89.2,95.2,96.64,84.08,6
skwerly,190.99,207.19,95.48,84.1,16.2
UTF8All Year Long,169.18,185.18,96.02,84.17,16
User_Mint,124.38,130.78,97.41,84.17,6.4
Jythonscript,114.2,118.2,97.65,84.24,4
Mohit_Singh985,92,94,98.11,84.31,2
Gaotosky10,137,151.2,94.35,84.33,14.2
Krain_,164.19,197.79,90.03,84.34,33.6
erure,148.19,158.79,96.47,84.43,10.6
TeddyK39,127,131,98.03,84.43,4
bob,152,163.4,94.43,84.46,11.4
Budderbear,115.79,119.99,97.67,84.48,4.2
phr4ctal,114.8,117,99.49,84.6,2.2
monitors,139.8,153.2,94.69,84.62,13.4
ritikmishra,171.19,177.99,97.99,84.7,6.8
Tetracarn,126.2,139.8,94.72,84.73,13.6
MyoKyaw1992,95.99,95.99,99.59,84.76,0
Dharmik31,118.2,118.2,99.83,84.8,0
MisterRoo2000,129,138,95.8,84.9,9
ChessKnightz,199.13,221.72,94.15,85.01,22.59
dmnuggins,122.18,127.98,97.51,85.1,5.8
oulongwenOG Account,128.4,132.2,98.49,85.22,3.8
TaufiqProtick,85.99,102.79,90.86,85.33,16.8
Dominatio,193,220.19,92.12,85.34,27.19
violel,177.6,208.8,91.04,85.36,31.2
nickvec,143.2,149.6,97.33,85.36,6.4
odekipalace,158.39,166.79,96.56,85.4,8.4
TopCantStop,132.4,142.2,95.37,85.42,9.8
El_Breno,93.6,119.59,87.63,85.46,25.99
anthonywsptServer Mod,147.79,174.39,91.63,85.49,26.6
chessfgm,108.56,126.35,92.74,85.61,17.79
alan123456wake,107.2,107.2,99.08,85.86,0
kenthchen,143.39,144.19,98.49,86.07,0.8
Vinsukii,101.6,101.6,100,86.11,0
udontran,152.4,153.2,99.35,86.19,0.8
THOMAS5745,126,129.8,98.16,86.24,3.8
LeaFy,230.8,244,96.9,86.25,13.2
scannerlicker,107.2,116,96.72,86.29,8.8
HIGHMYNAMEISME,158.19,162.39,98.28,86.34,4.2
saimike,123.4,130,96.79,86.42,6.6
IanC79,128.36,128.36,100,86.53,0
zylynx,121.59,136.59,93.45,86.81,15
sezmia,165.19,165.19,100,86.85,0
skwerly,186.39,204.19,95.59,86.88,17.8
Mastabob,110.59,116.79,96.58,86.89,6.2
BGRED,111.6,121.8,95.24,87.05,10.2
yulxings,160.78,165.18,98.43,87.12,4.4
Aayush_0112,132.57,143.77,96.39,87.15,11.2
ThatHeathen,190.59,208.79,96.08,87.24,18.2
devlynsun,151.8,158,96.73,87.63,6.2
DJNT,136.19,150.98,93.92,88.21,14.79
s4liven,128.4,130.59,98.93,88.25,2.19
SoGoodRight,144.39,158.79,93.2,88.26,14.4
onykz,147.79,156.79,96.56,88.4,9
THOMAS5745,133.79,135.19,98.82,88.65,1.4
Adryn-Aria,165.13,195.72,92.03,89.24,30.59
terracount,148.57,154.97,97.68,89.3,6.4
sambyte,139.4,144.8,96.96,89.42,5.4
Volan_100,155.79,157.59,99.37,89.84,1.8
dougsyeung,120.4,120.4,99.83,89.98,0
