name,wpm,raw,accuracy,consistency,diff
Mayank_1,88.2,88.4,95.09,66.18,0.2
phantom16,90.2,91.6,94.98,66.19,1.4
RonieJrGandeza,68,69,95.28,66.26,1
RV_Chemist,70.8,82,88.89,66.33,11.2
Twothatlurk,59,59,94.92,66.36,0
Joy_notJoey,70.99,72.39,93.38,66.39,1.4
stephen318n,70.99,76.19,94.13,66.42,5.2
AlekkZsM06,96.39,96.39,93.71,66.45,0
knockcat,79,80.8,95.02,66.46,1.8
Excalibur20,90.6,95.2,95.11,66.5,4.6
oniani,84.8,86.2,92.63,66.56,1.4
wilder,105.38,108.38,94.22,66.58,3
clear24max,110.19,122.99,90.94,66.61,12.8
DadeMurphy,101.6,122.6,87.21,66.63,21
gaiussabinus,83.4,83.4,98.58,66.73,0
ultrapopop,63.6,63.6,97.26,66.79,0
antishota,88,96.2,92.2,66.8,8.2
umber427,57.8,57.8,89.43,66.83,0
EthanChristenson,63.2,63.2,93.77,66.84,0
flannels,81.2,81.8,96.03,66.88,0.6
sumathena,62.8,62.8,95.8,66.88,0
CheifKeefy,64,64,95.54,66.89,0
crater,78.38,82.78,93.33,66.92,4.4
Tsumilyze,118.59,119.19,95.58,66.93,0.6
nirdeshmon,61,61,93.31,66.96,0
iTzzKoBrA,71.38,71.38,93.56,67.02,0
yffff,94.4,94.4,95.36,67.03,0
Lione2C,66,71.8,92.95,67.1,5.8
Alone_wolf,77.19,77.19,95.8,67.14,0
4534pko,63.2,73.19,93.24,67.15,9.99
aszatrowski,91.19,93.99,94.37,67.16,2.8
BloodshotEyes,58.79,58.79,90.63,67.16,0
orionsbelt,72.76,73.56,93.27,67.17,0.8
laloupalooza,65.8,67.2,92.33,67.23,1.4
code_strategist,59.6,60.6,96.15,67.29,1
DrunkenMaster14,63.4,66.2,92.7,67.31,2.8
SebastianA4,87.79,87.79,97.14,67.32,0
Joker19,75.2,75.4,97.17,67.35,0.2
ryanproo,87.58,87.58,94.26,67.36,0
TomBenz,67.2,73.8,96.48,67.37,6.6
siddharth_kapdi,86.98,86.98,96.51,67.38,0
ujjwal18,73.8,76.2,93.1,67.47,2.4
Yashrajkumar,73.99,73.99,91.69,67.48,0
Azhong06,68.39,68.99,93.82,67.51,0.6
akito1961,65.2,65.2,95.09,67.51,0
hannahalmeida109,61.79,62.79,92.65,67.52,1
vighnesh_jadhav,91.6,93.4,93.12,67.54,1.8
rahul42,82.39,82.39,93.35,67.55,0
wahid6969,88.19,89.99,96.94,67.56,1.8
osimov,65,66.4,97.05,67.56,1.4
Imanoob52143,72.4,72.4,91.96,67.56,0
JimmyWang,63.2,64.8,93.29,67.58,1.6
Mcanizal,59.4,59.4,94.9,67.58,0
Lem01,78.79,78.79,97.54,67.59,0
Leeyowww,93.99,93.99,99.58,67.59,0
Mortalglitter59,77.6,77.6,97.75,67.64,0
Jouquer,97.8,97.8,96.08,67.68,0
glue_gun_stanley,89.2,90.2,94.79,67.73,1
Pro-282,60.6,67,94.17,67.74,6.4
vincentTran,77.2,77.6,93.05,67.79,0.4
Desser,96.39,96.39,94.93,67.8,0
the_chainsmokers,60.99,60.99,94.74,67.81,0
krishnatyp,63.6,63.6,96.66,67.81,0
Zekirus,85.39,87.19,93.72,67.82,1.8
Yash013,67.18,70.98,94.55,67.84,3.8
EllaPilaB109,92,92,96.85,67.88,0
ArbazAnsari,68.6,68.6,94.04,67.92,0
Tressia,59.6,59.6,96.45,67.97,0
hangryyhippo,78.8,78.8,94.08,68,0
minhgianguyen1,82.2,82.2,94.53,68,0
Ikhwan_hsn,71.6,71.6,97.04,68,0
usama_khan,64.58,64.58,94.46,68.05,0
creativeflowers,79,80,95.04,68.14,1
atmaram_kambli,63.59,63.59,96.96,68.16,0
Messek,71.4,71.4,92.37,68.17,0
yashi__kant,62.39,62.39,97.21,68.17,0
Skrull_Lord,72.6,88,87.84,68.2,15.4
ChimeraMonkey,71.4,71.4,97.54,68.23,0
ELzoN1,101.2,103.6,94.3,68.24,2.4
12varam,72.2,77.6,95.24,68.36,5.4
MikeeMiroB109,60.4,60.4,98.39,68.37,0
prakrama,63.59,65.99,94.27,68.38,2.4
VishalVermaa,58.8,60.2,94.92,68.39,1.4
skarphace,85.99,87.19,96.88,68.52,1.2
nikku1,72.59,73.99,93.89,68.54,1.4
ichi_,71,71,95.19,68.54,0
clmntbnr,92.99,99.59,94.26,68.55,6.6
kazoowoo,89.4,90,93.93,68.58,0.6
