rank,name,wpm,raw,accuracy,consistency,diff
200,67da7f6a796b8342ad1143ff,97.6,116.2,88.94,68.31,18.6
201,67a9150ec60cdb1842a1a23a,97.59,110.59,92.04,66.58,13
202,67dbcc23796b8342ad208425,97.4,130.8,83.89,73.3,33.4
203,67a4484f8049ddd215ba361c,97.2,116.8,89.24,67.22,19.6
204,67d03d3672da54e64255bdcf,97,128.2,85.43,73.59,31.2
205,67c5165a9707b5a8a83e29ca,97,127.2,83.53,69.99,30.2
206,67dbfad4796b8342ad227423,96.8,131.4,85.41,72.32,34.6
207,67ac61a0c60cdb1842c85f86,96.79,99.19,91.58,59.76,2.4
208,67aba1c1c60cdb1842c0819d,96.79,112.99,90.69,67.64,16.2
209,67da82d6796b8342ad116714,96.4,129.4,83.61,74.22,33
210,67da4707796b8342ad0f20cf,96.2,132.6,83.23,70.87,36.4
211,67c8399472da54e642fc6a2d,95.6,126.4,84.81,73.6,30.8
212,67da4855796b8342ad0f2d78,95.6,126.8,83.74,72.3,31.2
213,67da7ecc796b8342ad113e27,95.59,129.98,83.46,74.01,34.39
214,67c83e5472da54e642fc9e15,95.2,133.4,82.37,76.5,38.2
215,67da4497796b8342ad0f0976,95.2,144,79.26,71.04,48.8
216,67d03ce072da54e64255b7e7,95,129.4,81.95,74.04,34.4
217,67da6b4f796b8342ad1079fb,94.98,113.78,86.96,65.84,18.8
218,67d863434e66d8ea7e64c9dc,94.8,129.59,83.84,70.08,34.79
219,67da4334796b8342ad0efc08,94.78,124.78,84.83,67.37,30
220,67c869a972da54e642ff2fe5,94.2,123,86.26,73.21,28.8
221,67aba0f6c60cdb1842c073fd,93.99,111.59,89.22,67.77,17.6
222,67dbcf35796b8342ad20a46b,93.98,114.57,88.46,71.52,20.59
223,67c8714d72da54e642ffb86b,93.8,124.6,84.47,72.86,30.8
224,67c837ca72da54e642fc5610,93.8,135.4,83.16,75.78,41.6
225,67a91551c60cdb1842a1a476,93.78,111.78,89.22,64.76,18
226,67cd9c7b72da54e642386f10,93.6,123.6,87.42,76.7,30
227,67a447928049ddd215ba2f24,93.6,123.6,84.44,69.51,30
228,67abc53ec60cdb1842c26b28,93.19,124.79,83.33,71.51,31.6
229,67c874b672da54e642fff6d0,93,130.2,81.52,73.19,37.2
230,67c83a2872da54e642fc7089,92.2,123.8,83.28,68.84,31.6
231,67e28130f65fb0e23feeaf43,92.19,140.39,79.04,74.58,48.2
232,6794d71649deeea627b9fa49,91.59,91.59,89.45,67.4,0
233,67a6657a8049ddd215d4f9c8,91.59,114.79,85.81,66.56,23.2
234,67da6d45796b8342ad108de8,91.39,113.38,85.52,72.39,21.99
235,67a7ee9cc60cdb184296e04a,91.19,120.18,85.2,66.32,28.99
236,67c836b172da54e642fc498d,90.39,124.39,81.97,68.54,34
237,67c8696a72da54e642ff2b2f,90,123.2,82.99,70.73,33.2
238,67da67ac796b8342ad10546d,89.6,114.6,85.74,68.91,25
239,67d881be4e66d8ea7e6672e4,89.2,131.2,76.73,71.2,42
240,67c83f9372da54e642fcac0c,88.6,124.6,82.2,75.34,36
241,67a61c888049ddd215d005de,88.59,112.38,86.59,66.28,23.79
242,67a7ed79c60cdb184296d956,87.8,103.4,86.21,58.12,15.6
243,67dbf9cf796b8342ad226972,87.6,111.4,87.22,68.34,23.8
244,67da4b05796b8342ad0f481f,86.99,119.19,81.82,67.13,32.2
245,67a6666c8049ddd215d506fa,85,115.39,81.07,66.2,30.39
246,67c8bba772da54e64204a8ff,83.8,117.4,80.79,71.39,33.6
247,67c8356072da54e642fc3b07,83.8,133.2,76.85,72.98,49.4
248,67a914b9c60cdb1842a19f37,83.79,100.38,87.55,63.4,16.59
249,67a7ecffc60cdb184296d68c,83.79,113.18,83.48,65.39,29.39
250,67da45ad796b8342ad0f13e2,83.2,123.4,76.61,69.53,40.2
251,67c74caf72da54e642f24542,82.4,131.2,77.89,73.27,48.8
252,67a7ebc6c60cdb184296cf2e,81.8,114.2,78.74,64.52,32.4
253,67c8734d72da54e642ffdcf3,81.6,130.4,77.22,78.56,48.8
254,67c870d072da54e642ffaf8d,80.6,134.4,76.47,76.62,53.8
255,67a7ec30c60cdb184296d1b1,70.79,105.59,78.53,62.3,34.8
